,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),65.0,61.2
1,Population below age 15 years (%),35.2,36.7
2,"Sex ratio of the total population (females per 1,000 males)","1,074","1,084"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",886,905
4,Children under age 5 years whose birth was registered with the civil authority (%),75.4,57.2
5,Deaths in the last 3 years registered with the civil authority (%),33.9,na
6,Population living in households with electricity (%),97.7,59.8
7,Population living in households with an improved drinking-water source (%),100.0,98.5
8,Population living in households that use an improved sanitation facility(%),47.1,27.5
9,Households using clean fuel for cooking (%),38.9,16.6
10,Households using iodized salt (%),92.4,93.7
11,Households with any usual member covered under a health insurance/financing scheme (%),15.4,20.5
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),12.0,na
13,Women who are literate (%),67.6,na
14,Women with 10 or more years of schooling (%),36.9,32.1
15,Women age 20-24 years married before age 18 years (%),27.3,34.2
16,Births in the 5 years preceding the survey that are third or higher order (%),3.6,3.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.3,7.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),68.4,40.9
19,Any method (%),69.4,32.8
20,Any modern method (%),53.5,32.8
21,Female sterilization (%),44.2,30.5
22,Male sterilization (%),0.0,0.2
23,IUD/PPIUD (%),0.9,0.6
24,Pill (%),2.5,0.5
25,Condom (%),4.3,0.8
26,Injectables (%),0.6,0.3
27,Total unmet need(%),7.2,19.9
28,Unmet need for spacing (%),3.5,10.5
29,Health worker ever talked to female non-users about family planning (%),26.6,10.2
30,Current users ever told about side effects of current method (%),52.8,31.5
31,Mothers who had an antenatal check-up in the first trimester (%),53.6,42.2
32,Mothers who had at least 4 antenatal care visits (%),29.3,16.2
33,Mothers whose last birth was protected against neonatal tetanus (%),93.2,98.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),20.3,7.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),9.4,1.3
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.3,75.0
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),71.5,58.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,804","1,923"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.4,0.9
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),72.0,na
41,Institutional births (%),77.5,71.5
42,Institutional births in public facility (%),61.9,52.0
43,Home births that were conducted by skilled health personnel (%),9.1,3.4
44,Births attended by skilled health personnel (%),84.6,74.0
45,Births delivered by caesarean section (%),10.2,11.2
46,Births in a private health facility that were delivered by caesarean section (%),52.7,47.1
47,Births in a public health facility that were delivered by caesarean section (%),3.1,3.8
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),89.7,77.6
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),90.6,80.7
50,Children age 12-23 months who have received BCG (%),99.4,96.7
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),91.3,87.7
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),95.9,95.4
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.8,88.3
