,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),65.0,57.2
2,Population below age 15 years (%),36.4,40.0
3,"Sex ratio of the total population (females per 1,000 males)","1,076","1,044"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,058",955
5,Children under age 5 years whose birth was registered with the civil authority (%),81.7,68.0
6,Deaths in the last 3 years registered with the civil authority (%),37.5,na
7,Population living in households with electricity (%),96.2,64.9
8,Population living in households with an improved drinking-water source (%),99.1,99.5
9,Population living in households that use an improved sanitation facility(%),62.2,35.5
10,Households using clean fuel for cooking (%),45.2,16.5
11,Households using iodized salt (%),89.2,98.3
12,Households with any usual member covered under a health insurance/financing scheme (%),13.2,12.2
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),26.3,na
15,Women who are literate (%),62.3,na
16,Women with 10 or more years of schooling (%),34.1,21.4
18,Women age 20-24 years married before age 18 years (%),49.5,57.9
19,Births in the 5 years preceding the survey that are third or higher order (%),5.9,4.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.1,15.4
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),70.7,29.0
23,Any method (%),55.8,35.2
24,Any modern method (%),46.2,34.6
25,Female sterilization (%),36.7,32.6
26,Male sterilization (%),0.4,0.1
27,IUD/PPIUD (%),1.0,0.4
28,Pill (%),1.2,1.0
29,Condom (%),2.9,0.6
30,Injectables (%),1.2,0.0
32,Total unmet need(%),16.0,21.4
33,Unmet need for spacing (%),9.0,10.2
35,Health worker ever talked to female non-users about family planning (%),17.4,12.3
36,Current users ever told about side effects of current method (%),53.1,25.0
38,Mothers who had an antenatal check-up in the first trimester (%),46.5,33.0
39,Mothers who had at least 4 antenatal care visits (%),21.6,7.9
40,Mothers whose last birth was protected against neonatal tetanus (%),88.6,87.8
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),21.4,5.9
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),11.8,0.2
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),87.8,76.0
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),58.6,58.9
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,710","1,254"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),8.5,4.5
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),60.9,na
51,Institutional births (%),86.0,75.3
52,Institutional births in public facility (%),63.6,65.1
53,Home births that were conducted by skilled health personnel (%),3.4,5.2
54,Births attended by skilled health personnel (%),85.6,78.8
55,Births delivered by caesarean section (%),6.3,2.9
56,Births in a private health facility that were delivered by caesarean section (%),25.3,19.1
57,Births in a public health facility that were delivered by caesarean section (%),0.9,1.4
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),65.8,77.1
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),80.8,85.7
62,Children age 12-23 months who have received BCG (%),96.6,99.5
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),72.9,82.2
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),82.3,89.0
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),81.0,92.4
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),24.5,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),2.5,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.4,76.8
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),57.2,67.9
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.5,97.3
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.7,2.7
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.9,7.0
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),61.8,(65.0)
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),31.6,(33.5)
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),63.1,(71.2)
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.1,1.2
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),75.4,66.2
