,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),62.6,59.3
1,Population below age 15 years (%),36.6,38.2
2,"Sex ratio of the total population (females per 1,000 males)","1,076","1,145"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",815,932
4,Children under age 5 years whose birth was registered with the civil authority (%),69.9,88.8
5,Deaths in the last 3 years registered with the civil authority (%),34.2,na
6,Population living in households with electricity (%),97.4,48.2
7,Population living in households with an improved drinking-water source (%),99.9,99.4
8,Population living in households that use an improved sanitation facility(%),43.4,22.6
9,Households using clean fuel for cooking (%),29.3,10.2
10,Households using iodized salt (%),90.1,92.7
11,Households with any usual member covered under a health insurance/financing scheme (%),15.6,25.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),13.9,na
13,Women who are literate (%),62.5,na
14,Women with 10 or more years of schooling (%),32.9,30.6
15,Women age 20-24 years married before age 18 years (%),37.5,41.5
16,Births in the 5 years preceding the survey that are third or higher order (%),3.2,4.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.8,9.7
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),54.5,23.4
19,Any method (%),60.5,29.0
20,Any modern method (%),42.8,27.2
21,Female sterilization (%),35.4,24.8
22,Male sterilization (%),0.1,0.0
23,IUD/PPIUD (%),0.5,0.5
24,Pill (%),1.6,0.4
25,Condom (%),3.4,1.3
26,Injectables (%),1.0,0.2
27,Total unmet need(%),12.2,20.8
28,Unmet need for spacing (%),5.4,9.9
29,Health worker ever talked to female non-users about family planning (%),27.1,10.7
30,Current users ever told about side effects of current method (%),56.0,29.3
31,Mothers who had an antenatal check-up in the first trimester (%),57.4,44.3
32,Mothers who had at least 4 antenatal care visits (%),34.5,11.5
33,Mothers whose last birth was protected against neonatal tetanus (%),94.2,95.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),17.2,6.0
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),6.9,1.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.5,93.0
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),70.1,50.1
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,933","1,247"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),4.1,0.0
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),70.1,na
41,Institutional births (%),79.2,69.9
42,Institutional births in public facility (%),58.6,57.4
43,Home births that were conducted by skilled health personnel (%),5.4,4.1
44,Births attended by skilled health personnel (%),83.1,70.6
45,Births delivered by caesarean section (%),12.7,6.7
46,Births in a private health facility that were delivered by caesarean section (%),57.3,43.5
47,Births in a public health facility that were delivered by caesarean section (%),1.5,2.2
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),84.2,74.1
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),89.0,89.9
50,Children age 12-23 months who have received BCG (%),97.3,100.0
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),85.0,81.6
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.9,91.1
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.7,91.1
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),51.4,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),4.2,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),92.2,78.5
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),57.8,62.1
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.3,96.9
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.7,3.1
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),13.4,9.2
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),57.5,40.6
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),51.2,18.6
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),83.1,37.8
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.0,1.6
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),86.3,46.4
66,Children under age 3 years breastfed within one hour of birth (%),44.1,39.3
67,Children under age 6 months exclusively breastfed (%),(48.3),(43.2)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(61.7),(44.2)
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),10.3,3.2
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(15.8),(9.8)
71,Total children age 6-23 months receiving an adequate diet  (%),11.5,4.1
72,Children under 5 years who are stunted (height-for-age) (%),45.6,50.2
73,Children under 5 years who are wasted (weight-for-height) (%),36.8,30.7
74,Children under 5 years who are severely wasted (weight-for-height) (%),14.8,16.4
75,Children under 5 years who are underweight (weight-for-age) (%),52.9,54.0
76,Children under 5 years who are overweight (weight-for-height) (%),2.9,1.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),31.9,30.8
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),12.4,7.8
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),51.3,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),65.8,66.8
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),66.6,57.3
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),70.4,57.8
83,All women age 15-49 years who are anaemic (%),66.9,57.4
84,All women age 15-19 years who are anaemic (%),66.3,66.1
85,Women - Blood sugar level - high (141-160 mg/dl)(%),6.3,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),4.1,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.9,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),9.3,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),5.8,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.9,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.6,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.6,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),12.9,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.0,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.3,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),14.0,na
97,  Ever undergone a screening test for cervical cancer (%),0.4,na
98,  Ever undergone a breast examination for breast cancer (%),0.2,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
100,Women age 15 years and above who use any kind of tobacco (%),2.4,na
101,Men age 15 years and above who use any kind of tobacco (%),47.9,na
102,Women age 15 years and above who consume alcohol (%),0.6,na
103,Men age 15 years and above who consume alcohol (%),25.2,na
