,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),56.2,52.0
2,Population below age 15 years (%),36.2,43.5
3,"Sex ratio of the total population (females per 1,000 males)","1,066","1,143"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,017",900
5,Children under age 5 years whose birth was registered with the civil authority (%),82.5,52.2
6,Deaths in the last 3 years registered with the civil authority (%),49.1,na
7,Population living in households with electricity (%),97.6,61.4
8,Population living in households with an improved drinking-water source (%),100.0,99.7
9,Population living in households that use an improved sanitation facility(%),57.9,23.9
10,Households using clean fuel for cooking (%),31.3,11.1
11,Households using iodized salt (%),95.6,90.4
12,Households with any usual member covered under a health insurance/financing scheme (%),18.1,7.5
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.3,na
15,Women who are literate (%),52.5,na
16,Women with 10 or more years of schooling (%),21.0,13.8
18,Women age 20-24 years married before age 18 years (%),34.6,51.1
19,Births in the 5 years preceding the survey that are third or higher order (%),4.7,5.7
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.3,14.0
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),57.3,20.1
23,Any method (%),65.6,18.7
24,Any modern method (%),49.7,17.9
25,Female sterilization (%),38.2,15.4
26,Male sterilization (%),0.0,0.1
27,IUD/PPIUD (%),1.1,0.4
28,Pill (%),1.6,0.6
29,Condom (%),4.3,1.3
30,Injectables (%),1.7,0.1
32,Total unmet need(%),10.4,26.0
33,Unmet need for spacing (%),5.3,12.2
35,Health worker ever talked to female non-users about family planning (%),24.7,12.8
36,Current users ever told about side effects of current method (%),58.7,21.4
38,Children under age 3 years breastfed within one hour of birth (%),27.3,33.1
39,Children under age 6 months exclusively breastfed (%),(83.5),55.0
40,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,(30.9)
41,Breastfeeding children age 6-23 months receiving an adequate diet  (%),2.9,10.8
42,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
43,Total children age 6-23 months receiving an adequate diet  (%),3.5,10.3
44,Children under 5 years who are stunted (height-for-age) (%),34.4,53.0
45,Children under 5 years who are wasted (weight-for-height) (%),35.4,14.8
46,Children under 5 years who are severely wasted (weight-for-height) (%),21.4,4.3
47,Children under 5 years who are underweight (weight-for-age) (%),42.2,42.8
48,Children under 5 years who are overweight (weight-for-height) (%),3.4,0.8
50,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),20.0,33.1
51,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),7.6,9.6
52,Women who have high risk waist-to-hip ratio (≥0.85) (%),69.1,na
54,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),73.1,63.7
55,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),63.4,55.6
56,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),37.3,46.0
57,All women age 15-49 years who are anaemic (%),61.6,55.0
58,All women age 15-19 years who are anaemic (%),64.3,59.1
61,Women - Blood sugar level - high (141-160 mg/dl)(%),4.2,na
62,Women - Blood sugar level - very high (>160 mg/dl)(%),3.1,na
63,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.5,na
65,Men - Blood sugar level - high (141-160 mg/dl)(%),8.7,na
66,Men - Blood sugar level - very high (>160 mg/dl) (%),4.6,na
67,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.9,na
70,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.1,na
71,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.7,na
73,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),15.5,na
75,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.6,na
76,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.5,na
78,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.8,na
80,Ever undergone a screening test for cervical cancer (%),0.0,na
81,Ever undergone a breast examination for breast cancer (%),0.0,na
82,Ever undergone an oral cavity examination for oral cancer (%),0.3,na
84,Women age 15 years and above who use any kind of tobacco (%),4.5,na
85,Men age 15 years and above who use any kind of tobacco (%),56.6,na
86,Women age 15 years and above who consume alcohol (%),0.3,na
87,Men age 15 years and above who consume alcohol (%),14.9,na
