Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Female population age 6 years and above who ever attended school (%),74.2,58.7,61.1,56.9
Population below age 15 years (%),31.6,37.2,36.4,39.3
"Sex ratio of the total population (females per 1,000 males)",982,"1,111","1,090","1,062"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",940,903,908,934
Children under age 5 years whose birth was registered with the civil authority (%),75.4,75.7,75.6,60.7
Deaths in the last 3 years registered with the civil authority (%),47.7,35.5,37.1,na
Population living in households with electricity (%),96.2,96.3,96.3,60.0
Population living in households with an improved drinking-water source (%),99.5,99.2,99.2,98.4
Population living in households that use an improved sanitation facility(%),69.2,45.7,49.4,26.5
Households using clean fuel for cooking (%),78.6,30.3,37.8,17.8
Households using iodized salt (%),96.2,92.8,93.3,93.6
Households with any usual member covered under a health insurance/financing scheme (%),11.6,15.1,14.6,12.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),18.5,10.5,11.5,na
Women who are literate (%),74.9,54.5,57.8,na
Men who are literate (%),84.0,77.0,78.5,na
Women with 10 or more years of schooling (%),48.0,25.2,28.8,22.8
Men with 10 or more years of schooling (%),57.1,38.9,42.8,42.5
Women who have ever used the internet (%),38.4,17.0,20.6,na
Men who have ever used the internet (%),58.4,39.4,43.6,na
Women age 20-24 years married before age 18 years (%),27.9,43.4,40.8,42.5
Men age 25-29 years married before age 21 years (%),18.3,34.3,30.5,35.3
Total fertility rate (children per woman),2.4,3.1,3.0,3.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.4,11.6,11.0,12.2
Adolescent fertility rate for women age 15-19 years,60,80,77,77
Neonatal mortality rate (NNMR),29.5,35.2,34.5,36.7
Infant mortality rate (IMR),43.1,47.3,46.8,48.1
Under-five mortality rate (U5MR),50.0,57.4,56.4,58.1
Any method (%),62.3,54.6,55.8,24.1
Any modern method (%),47.0,43.9,44.4,23.3
Female sterilization (%),31.8,35.3,34.8,20.7
