,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),62.7
1,Population below age 15 years (%),31.3
2,"Sex ratio of the total population (females per 1,000 males)",989
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,029"
4,Children under age 5 years whose birth was registered with the civil authority (%),87.0
5,Deaths in the last 3 years registered with the civil authority (%),65.4
6,Population living in households with electricity (%),98.7
7,Population living in households with an improved drinking-water source (%),99.9
8,Population living in households that use an improved sanitation facility(%),83.3
9,Households using clean fuel for cooking (%),53.6
10,Households using iodized salt (%),95.7
11,Households with any usual member covered under a health insurance/financing scheme (%),14.8
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.0
13,Women who are literate (%),64.2
14,Women with 10 or more years of schooling (%),32.6
15,Women age 20-24 years married before age 18 years (%),10.8
16,Births in the 5 years preceding the survey that are third or higher order (%),6.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.3
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.1
19,Any method (%),71.0
20,Any modern method (%),45.6
21,Female sterilization (%),10.9
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),0.9
24,Pill (%),4.4
25,Condom (%),27.7
26,Injectables (%),1.1
27,Total unmet need(%),5.6
28,Unmet need for spacing (%),2.3
29,Health worker ever talked to female non-users about family planning (%),17.6
30,Current users ever told about side effects of current method (%),74.6
31,Mothers who had an antenatal check-up in the first trimester (%),82.7
32,Mothers who had at least 4 antenatal care visits (%),41.0
33,Mothers whose last birth was protected against neonatal tetanus (%),97.6
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),25.0
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),6.7
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.3
37,delivery (%),81.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,725"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.2
40,delivery (%),75.2
41,Institutional births (%),78.3
42,Institutional births in public facility (%),54.3
43,Home births that were conducted by skilled health personnel (%),5.9
44,Births attended by skilled health personnel (%),83.3
45,Births delivered by caesarean section (%),11.3
46,Births in a private health facility that were delivered by caesarean section (%),35.7
47,Births in a public health facility that were delivered by caesarean section (%),5.0
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),91.1
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),95.3
50,Children age 12-23 months who have received BCG (%),97.5
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),93.5
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),91.1
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.6
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),40.4
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),76.9
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),92.5
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),84.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.0
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.9
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.3
65,health provider (%),*
66,Children under age 3 years breastfed within one hour of birth (%),19.1
67,Children under age 6 months exclusively breastfed (%),64.8
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),1.6
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(2.5)
71,Total children age 6-23 months receiving an adequate diet  (%),1.8
72,Children under 5 years who are stunted (height-for-age) (%),28.6
73,Children under 5 years who are wasted (weight-for-height) (%),24.3
74,Children under 5 years who are severely wasted (weight-for-height) (%),13.2
75,Children under 5 years who are underweight (weight-for-age) (%),27.5
