Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),68.9
Population below age 15 years (%),31.4
"Sex ratio of the total population (females per 1,000 males)","1,151"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",997
Children under age 5 years whose birth was registered with the civil authority (%),86.8
Deaths in the last 3 years registered with the civil authority (%),53.0
Population living in households with electricity (%),94.3
Population living in households with an improved drinking-water source (%),99.5
Population living in households that use an improved sanitation facility(%),65.1
Households using clean fuel for cooking (%),33.7
Households using iodized salt (%),97.0
Households with any usual member covered under a health insurance/financing scheme (%),20.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),15.1
Women who are literate (%),71.9
Women with 10 or more years of schooling (%),46.6
Women age 20-24 years married before age 18 years (%),7.9
Births in the 5 years preceding the survey that are third or higher order (%),0.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.1
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.8
Any method (%),47.6
Any modern method (%),24.3
Female sterilization (%),13.6
Male sterilization (%),0.0
IUD/PPIUD (%),0.7
Pill (%),1.1
Condom (%),7.1
Injectables (%),0.8
Total unmet need(%),23.9
Unmet need for spacing (%),9.2
Health worker ever talked to female non-users about family planning (%),19.0
Current users ever told about side effects of current method (%),(75.2)
Mothers who had an antenatal check-up in the first trimester (%),59.6
Mothers who had at least 4 antenatal care visits (%),47.0
Mothers whose last birth was protected against neonatal tetanus (%),93.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),27.8
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.7
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),70.5
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,642"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(0.0)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),69.4
Institutional births (%),87.0
Institutional births in public facility (%),68.0
Home births that were conducted by skilled health personnel (%),4.4
Births attended by skilled health personnel (%),83.7
Births delivered by caesarean section (%),13.0
Births in a private health facility that were delivered by caesarean section (%),45.1
Births in a public health facility that were delivered by caesarean section (%),6.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),80.2
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),92.7
Children age 12-23 months who have received BCG (%),94.5
Children age 12-23 months who have received 3 doses of polio vaccine (%),81.3
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.8
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.3
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),33.3
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),55.5
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.8
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),80.5
Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.8
Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.2
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.3
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
