,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),60.1,57.9
1,Population below age 15 years (%),29.6,31.9
2,"Sex ratio of the total population (females per 1,000 males)",922,937
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",814,955
4,Children under age 5 years whose birth was registered with the civil authority (%),74.2,69.5
5,Deaths in the last 3 years registered with the civil authority (%),66.6,na
6,Population living in households with electricity (%),86.8,53.1
7,Population living in households with an improved drinking-water source (%),100.0,100.0
8,Population living in households that use an improved sanitation facility(%),76.8,39.9
9,Households using clean fuel for cooking (%),48.1,27.6
10,Households using iodized salt (%),91.2,83.3
11,Households with any usual member covered under a health insurance/financing scheme (%),21.4,3.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.9,na
13,Women who are literate (%),54.7,na
14,Women with 10 or more years of schooling (%),28.5,22.7
15,Women age 20-24 years married before age 18 years (%),16.2,14.9
16,Births in the 5 years preceding the survey that are third or higher order (%),1.4,4.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.6,4.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),71.1,39.5
19,Any method (%),74.1,62.9
20,Any modern method (%),45.5,40.4
21,Female sterilization (%),14.4,13.6
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),0.8,1.3
24,Pill (%),1.4,2.6
25,Condom (%),27.4,21.5
26,Injectables (%),0.4,1.5
27,Total unmet need(%),4.9,9.8
28,Unmet need for spacing (%),2.5,4.5
29,Health worker ever talked to female non-users about family planning (%),20.8,11.3
30,Current users ever told about side effects of current method (%),(53.2),45.2
31,Mothers who had an antenatal check-up in the first trimester (%),67.5,57.4
32,Mothers who had at least 4 antenatal care visits (%),43.6,42.2
33,Mothers whose last birth was protected against neonatal tetanus (%),91.1,91.2
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),26.3,17.2
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),4.8,3.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.8,83.6
37,days of delivery (%),72.6,66.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,458",807
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.6,1.9
40,days of delivery (%),71.2,na
41,Institutional births (%),76.2,63.6
42,Institutional births in public facility (%),50.2,40.8
43,Home births that were conducted by skilled health personnel (%),6.2,5.4
44,Births attended by skilled health personnel (%),80.2,68.6
45,Births delivered by caesarean section (%),19.0,9.3
46,Births in a private health facility that were delivered by caesarean section (%),54.2,38.0
