Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),72.5,67.3
Population below age 15 years (%),31.9,33.9
"Sex ratio of the total population (females per 1,000 males)",950,961
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",871,850
Children under age 5 years whose birth was registered with the civil authority (%),65.4,54.8
Deaths in the last 3 years registered with the civil authority (%),34.5,na
Population living in households with electricity (%),96.3,87.5
Population living in households with an improved drinking-water source (%),99.4,99.3
Population living in households that use an improved sanitation facility(%),69.0,36.7
Households using clean fuel for cooking (%),53.5,36.3
Households using iodized salt (%),88.0,95.4
Households with any usual member covered under a health insurance/financing scheme (%),13.4,2.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.9,na
Women who are literate (%),71.4,na
Women with 10 or more years of schooling (%),42.4,32.3
Women age 20-24 years married before age 18 years (%),24.8,22.2
Births in the 5 years preceding the survey that are third or higher order (%),4.8,5.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.6,4.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),70.0,49.5
Any method (%),66.9,47.3
Any modern method (%),34.6,29.7
Female sterilization (%),15.0,14.2
Male sterilization (%),0.0,0.3
IUD/PPIUD (%),1.2,1.4
Pill (%),2.3,1.5
Condom (%),14.7,11.9
Injectables (%),0.4,0.5
Total unmet need(%),9.2,16.9
Unmet need for spacing (%),3.2,7.3
Health worker ever talked to female non-users about family planning (%),18.3,11.9
Current users ever told about side effects of current method (%),47.1,61.9
Mothers who had an antenatal check-up in the first trimester (%),58.3,43.0
Mothers who had at least 4 antenatal care visits (%),39.3,24.7
Mothers whose last birth was protected against neonatal tetanus (%),84.7,83.6
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),14.9,7.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),4.6,2.8
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.7,81.1
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),73.7,47.8
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,791","1,441"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.5,1.0
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),72.0,na
Institutional births (%),80.1,67.0
Institutional births in public facility (%),56.4,41.1
Home births that were conducted by skilled health personnel (%),4.2,3.2
Births attended by skilled health personnel (%),83.3,67.6
Births delivered by caesarean section (%),10.7,9.1
Births in a private health facility that were delivered by caesarean section (%),38.5,30.5
Births in a public health facility that were delivered by caesarean section (%),2.7,2.9
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),67.1,58.8
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),72.9,72.1
Children age 12-23 months who have received BCG (%),94.9,91.8
