,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),71.8
2,Population below age 15 years (%),31.4
3,"Sex ratio of the total population (females per 1,000 males)",917
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",785
5,Children under age 5 years whose birth was registered with the civil authority (%),75.1
6,Deaths in the last 3 years registered with the civil authority (%),56.2
7,Population living in households with electricity (%),98.8
8,Population living in households with an improved drinking-water source (%),99.9
9,Population living in households that use an improved sanitation facility(%),85.6
10,Households using clean fuel for cooking (%),68.0
11,Households using iodized salt (%),96.0
12,Households with any usual member covered under a health insurance/financing scheme (%),14.9
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.8
15,Women who are literate (%),73.7
16,Women with 10 or more years of schooling (%),43.5
18,Women age 20-24 years married before age 18 years (%),7.1
19,Births in the 5 years preceding the survey that are third or higher order (%),5.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.8
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),88.6
23,Any method (%),70.3
24,Any modern method (%),47.6
25,Female sterilization (%),15.3
26,Male sterilization (%),0.1
27,IUD/PPIUD (%),2.1
28,Pill (%),2.4
29,Condom (%),26.5
30,Injectables (%),0.7
32,Total unmet need(%),4.8
33,Unmet need for spacing (%),2.2
35,Health worker ever talked to female non-users about family planning (%),31.4
36,Current users ever told about side effects of current method (%),85.1
39,Mothers who had an antenatal check-up in the first trimester (%),80.1
40,Mothers who had at least 4 antenatal care visits (%),53.3
41,Mothers whose last birth was protected against neonatal tetanus (%),96.2
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),29.0
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.6
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.9
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.0
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,297"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.3
52,Institutional births (%),83.3
53,Institutional births in public facility (%),34.7
54,Home births that were conducted by skilled health personnel (%),3.4
55,Births attended by skilled health personnel (%),85.6
56,Births delivered by caesarean section (%),16.5
57,Births in a private health facility that were delivered by caesarean section (%),28.9
58,Births in a public health facility that were delivered by caesarean section (%),7.0
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),84.4
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),89.1
62,Children age 12-23 months who have received BCG (%),97.2
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),88.3
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.3
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),92.4
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),41.6
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),83.6
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),94.3
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),82.1
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.5
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.0
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.9
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.0
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(74.8)
81,Children under age 3 years breastfed within one hour of birth (%),38.4
82,Children under age 6 months exclusively breastfed (%),61.1
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),12.6
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(6.7)
86,Total children age 6-23 months receiving an adequate diet  (%),10.9
87,Children under 5 years who are stunted (height-for-age) (%),30.2
88,Children under 5 years who are wasted (weight-for-height) (%),18.5
89,Children under 5 years who are severely wasted (weight-for-height) (%),9.2
90,Children under 5 years who are underweight (weight-for-age) (%),26.9
91,Children under 5 years who are overweight (weight-for-height) (%),5.1
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.4
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),32.4
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),70.7
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),69.4
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),51.7
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),30.8
100,All women age 15-49 years who are anaemic (%),50.6
101,All women age 15-19 years who are anaemic (%),55.7
104,Women - Blood sugar level - high (141-160 mg/dl)(%),4.1
105,Women - Blood sugar level - very high (>160 mg/dl)(%),3.3
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.7
108,Men - Blood sugar level - high (141-160 mg/dl)(%),4.9
109,Men - Blood sugar level - very high (>160 mg/dl) (%),4.1
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.6
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.6
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.3
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.9
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.1
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.1
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.7
123,Ever undergone a screening test for cervical cancer (%),0.4
124,Ever undergone a breast examination for breast cancer (%),0.1
125,Ever undergone an oral cavity examination for oral cancer (%),0.3
127,Women age 15 years and above who use any kind of tobacco (%),2.4
128,Men age 15 years and above who use any kind of tobacco (%),30.8
129,Women age 15 years and above who consume alcohol (%),0.1
130,Men age 15 years and above who consume alcohol (%),15.4
