,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),69.3,65.3
2,Population below age 15 years (%),28.5,32.9
3,"Sex ratio of the total population (females per 1,000 males)",984,954
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,022",906
5,Children under age 5 years whose birth was registered with the civil authority (%),85.4,74.7
6,Deaths in the last 3 years registered with the civil authority (%),60.2,na
7,Population living in households with electricity (%),98.3,94.5
8,Population living in households with an improved drinking-water source (%),99.7,99.9
9,Population living in households that use an improved sanitation facility(%),83.8,54.4
10,Households using clean fuel for cooking (%),56.6,37.6
11,Households using iodized salt (%),96.2,98.2
12,Households with any usual member covered under a health insurance/financing scheme (%),11.8,3.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),7.8,na
15,Women who are literate (%),71.2,na
16,Women with 10 or more years of schooling (%),38.2,33.6
18,Women age 20-24 years married before age 18 years (%),7.0,7.7
19,Births in the 5 years preceding the survey that are third or higher order (%),4.7,5.3
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.3,2.1
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),76.7,51.0
23,Any method (%),73.7,65.0
24,Any modern method (%),48.9,43.1
25,Female sterilization (%),9.5,13.6
26,Male sterilization (%),0.3,0.3
27,IUD/PPIUD (%),0.8,0.9
28,Pill (%),4.5,3.4
29,Condom (%),32.8,24.2
30,Injectables (%),0.7,0.7
32,Total unmet need(%),4.3,10.4
33,Unmet need for spacing (%),1.6,4.3
35,Health worker ever talked to female non-users about family planning (%),18.7,12.1
36,Current users ever told about side effects of current method (%),(69.6),61.3
39,Mothers who had an antenatal check-up in the first trimester (%),78.7,75.2
40,Mothers who had at least 4 antenatal care visits (%),52.4,41.7
41,Mothers whose last birth was protected against neonatal tetanus (%),97.4,94.2
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),25.7,14.6
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.5,6.4
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.8,70.8
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.6,69.0
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,537","2,147"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(3.7),1.4
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),79.1,na
52,Institutional births (%),81.7,62.3
53,Institutional births in public facility (%),53.5,33.3
54,Home births that were conducted by skilled health personnel (%),5.3,4.7
55,Births attended by skilled health personnel (%),86.9,66.9
56,Births delivered by caesarean section (%),15.4,12.4
57,Births in a private health facility that were delivered by caesarean section (%),37.6,25.4
58,Births in a public health facility that were delivered by caesarean section (%),9.1,15.1
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),89.2,62.6
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),93.4,77.3
63,Children age 12-23 months who have received BCG (%),97.3,92.0
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),91.0,75.0
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92.9,79.7
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.7,85.9
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),35.7,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),56.9,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),92.0,71.3
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),82.7,43.8
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.7,87.0
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),4.5,4.5
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.1,19.1
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(67.1),38.4
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(23.3),4.8
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(69.8),69.2
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.9,3.9
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(62.4),78.0
