,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Population and Household Profile,,Urban  Rural,Total,Total
1,Female population age 6 years and above who ever attended school (%),76.2,64.6,67.4,63.0
2,Population below age 15 years (%),26.7,32.4,31.0,33.8
3,"Sex ratio of the total population (females per 1,000 males)",961,"1,036","1,017",995
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",933,943,941,903
5,Children under age 5 years whose birth was registered with the civil authority (%),84.4,78.2,79.5,60.2
6,Deaths in the last 3 years registered with the civil authority (%),61.8,43.2,47.3,na
7,Population living in households with electricity (%),97.6,88.9,91.0,72.6
8,Population living in households with an improved drinking-water source (%),99.4,99.1,99.2,98.4
9,Population living in households that use an improved sanitation facility(%),80.9,64.8,68.8,36.4
10,Households using clean fuel for cooking (%),88.3,36.2,49.5,32.7
11,Households using iodized salt (%),97.0,90.6,92.3,93.7
12,Households with any usual member covered under a health insurance/financing scheme (%),16.8,15.5,15.9,6.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),11.9,8.6,9.3,na
14,Women who are literate (%),77.2,62.4,66.1,na
15,Men who are literate (%),84.1,81.2,82.0,na
16,Women with 10 or more years of schooling (%),51.9,35.0,39.3,32.9
17,Men with 10 or more years of schooling (%),56.8,45.6,48.6,42.2
18,Women who have ever used the internet (%),50.2,24.5,30.6,na
19,Men who have ever used the internet (%),72.4,54.2,59.1,na
20,Women age 20-24 years married before age 18 years (%),9.6,17.9,15.8,21.1
21,Men age 25-29 years married before age 21 years (%),17.1,25.4,23.0,28.7
22,Total fertility rate (children per woman),1.9,2.5,2.4,2.7
23,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.5,3.3,2.9,3.8
24,Adolescent fertility rate for women age 15-19 years,14,24,22,28
25,Neonatal mortality rate (NNMR),27.7,37.8,35.7,45.1
26,Infant mortality rate (IMR),42.0,52.6,50.4,63.5
27,Under-five mortality rate (U5MR),49.7,62.5,59.8,78.1
28,Any method (%),67.6,60.8,62.4,45.5
29,Any modern method (%),48.6,43.2,44.5,31.7
30,Female sterilization (%),13.5,18.0,16.9,17.3
31,Male sterilization (%),0.1,0.1,0.1,0.1
32,IUD/PPIUD (%),2.0,1.3,1.5,1.2
33,Pill (%),4.0,4.5,4.4,1.9
34,Condom (%),27.1,16.6,19.1,10.8
35,Injectables (%),0.9,1.2,1.2,0.4
36,Total unmet need(%),9.2,14.0,12.9,18.1
