Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),66.1
Population below age 15 years (%),32.1
"Sex ratio of the total population (females per 1,000 males)","1,170"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",844
Children under age 5 years whose birth was registered with the civil authority (%),87.5
Deaths in the last 3 years registered with the civil authority (%),52.4
Population living in households with electricity (%),92.3
Population living in households with an improved drinking-water source (%),98.7
Population living in households that use an improved sanitation facility(%),60.9
Households using clean fuel for cooking (%),26.4
Households using iodized salt (%),97.2
Households with any usual member covered under a health insurance/financing scheme (%),20.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),5.3
Women who are literate (%),63.3
Women with 10 or more years of schooling (%),34.6
Women age 20-24 years married before age 18 years (%),14.9
Births in the 5 years preceding the survey that are third or higher order (%),3.3
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),71.8
Any method (%),48.4
Any modern method (%),30.5
Female sterilization (%),14.4
Male sterilization (%),0.0
IUD/PPIUD (%),0.7
Pill (%),1.6
Condom (%),11.7
Injectables (%),0.5
Total unmet need(%),19.9
Unmet need for spacing (%),7.0
Health worker ever talked to female non-users about family planning (%),34.4
Current users ever told about side effects of current method (%),(77.4)
Mothers who had an antenatal check-up in the first trimester (%),72.6
Mothers who had at least 4 antenatal care visits (%),31.7
Mothers whose last birth was protected against neonatal tetanus (%),93.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),15.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),10.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.8
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),76.3
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,713"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(12.7)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),73.7
Institutional births (%),90.8
Institutional births in public facility (%),71.3
Home births that were conducted by skilled health personnel (%),3.4
Births attended by skilled health personnel (%),91.4
Births delivered by caesarean section (%),11.1
Births in a private health facility that were delivered by caesarean section (%),40.3
Births in a public health facility that were delivered by caesarean section (%),4.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),75.9
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),86.8
Children age 12-23 months who have received BCG (%),96.8
Children age 12-23 months who have received 3 doses of polio vaccine (%),78.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),82.0
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),85.7
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.5
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),65.2
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),82.0
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),80.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),95.9
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.7
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),57.3
Children under age 3 years breastfed within one hour of birth (%),21.6
Children under age 6 months exclusively breastfed (%),72.6
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),5.0
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),5.7
Children under 5 years who are stunted (height-for-age) (%),35.8
Children under 5 years who are wasted (weight-for-height) (%),19.9
Children under 5 years who are severely wasted (weight-for-height) (%),5.1
