,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),69.1
1,Population below age 15 years (%),30.4
2,"Sex ratio of the total population (females per 1,000 males)",957
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",865
4,Children under age 5 years whose birth was registered with the civil authority (%),80.2
5,Deaths in the last 3 years registered with the civil authority (%),70.5
6,Population living in households with electricity (%),97.8
7,Population living in households with an improved drinking-water source (%),99.9
8,Population living in households that use an improved sanitation facility(%),80.1
9,Households using clean fuel for cooking (%),59.8
10,Households using iodized salt (%),96.3
11,Households with any usual member covered under a health insurance/financing scheme (%),8.2
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.4
13,Women who are literate (%),72.1
14,Women with 10 or more years of schooling (%),41.8
15,Women age 20-24 years married before age 18 years (%),7.3
16,Births in the 5 years preceding the survey that are third or higher order (%),4.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),78.1
19,Any method (%),73.2
20,Any modern method (%),44.9
21,Female sterilization (%),14.4
22,Male sterilization (%),0.2
23,IUD/PPIUD (%),1.6
24,Pill (%),3.6
25,Condom (%),24.7
26,Injectables (%),0.1
27,Total unmet need(%),5.0
28,Unmet need for spacing (%),1.9
29,Health worker ever talked to female non-users about family planning (%),17.6
30,Current users ever told about side effects of current method (%),78.8
31,Mothers who had an antenatal check-up in the first trimester (%),75.5
32,Mothers who had at least 4 antenatal care visits (%),44.0
33,Mothers whose last birth was protected against neonatal tetanus (%),94.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),34.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.4
37,delivery (%),88.5
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,747"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(0.0)
40,delivery (%),87.3
41,Institutional births (%),87.0
42,Institutional births in public facility (%),45.0
43,Home births that were conducted by skilled health personnel (%),4.2
44,Births attended by skilled health personnel (%),89.9
45,Births delivered by caesarean section (%),22.4
46,Births in a private health facility that were delivered by caesarean section (%),33.3
47,Births in a public health facility that were delivered by caesarean section (%),18.7
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),69.5
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),79.6
50,Children age 12-23 months who have received BCG (%),91.1
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),74.1
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),75.5
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),77.6
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),23.6
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),62.2
