Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),67.6
Population below age 15 years (%),29.4
"Sex ratio of the total population (females per 1,000 males)","1,002"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,022"
Children under age 5 years whose birth was registered with the civil authority (%),74.4
Deaths in the last 3 years registered with the civil authority (%),58.9
Population living in households with electricity (%),96.0
Population living in households with an improved drinking-water source (%),99.8
Population living in households that use an improved sanitation facility(%),79.0
Households using clean fuel for cooking (%),58.3
Households using iodized salt (%),95.1
Households with any usual member covered under a health insurance/financing scheme (%),17.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.1
Women who are literate (%),66.7
Women with 10 or more years of schooling (%),42.6
Women age 20-24 years married before age 18 years (%),9.6
Births in the 5 years preceding the survey that are third or higher order (%),4.3
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.5
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),78.5
Any method (%),69.8
Any modern method (%),47.7
Female sterilization (%),10.2
Male sterilization (%),0.0
IUD/PPIUD (%),0.5
Pill (%),5.5
Condom (%),30.7
Injectables (%),0.7
Total unmet need(%),6.9
Unmet need for spacing (%),2.9
Health worker ever talked to female non-users about family planning (%),20.9
Current users ever told about side effects of current method (%),77.4
Mothers who had an antenatal check-up in the first trimester (%),73.7
Mothers who had at least 4 antenatal care visits (%),33.2
Mothers whose last birth was protected against neonatal tetanus (%),95.1
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),17.2
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),2.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),76.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,877"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),3.4
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),74.7
Institutional births (%),80.3
Institutional births in public facility (%),40.0
Home births that were conducted by skilled health personnel (%),5.3
Births attended by skilled health personnel (%),85.6
Births delivered by caesarean section (%),22.5
Births in a private health facility that were delivered by caesarean section (%),43.0
Births in a public health facility that were delivered by caesarean section (%),13.1
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),84.5
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),90.6
Children age 12-23 months who have received BCG (%),97.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),84.5
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.1
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),18.0
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),61.2
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),85.9
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),74.1
Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.1
Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.3
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.0
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(60.3)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(31.5)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(72.9)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.2
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(71.0)
Children under age 3 years breastfed within one hour of birth (%),17.0
Children under age 6 months exclusively breastfed (%),(56.0)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
