Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),56.0
Population below age 15 years (%),35.5
"Sex ratio of the total population (females per 1,000 males)","1,019"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",940
Children under age 5 years whose birth was registered with the civil authority (%),54.8
Deaths in the last 3 years registered with the civil authority (%),37.7
Population living in households with electricity (%),91.9
Population living in households with an improved drinking-water source (%),100.0
Population living in households that use an improved sanitation facility(%),72.8
Households using clean fuel for cooking (%),38.2
Households using iodized salt (%),91.1
Households with any usual member covered under a health insurance/financing scheme (%),13.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),7.0
Women who are literate (%),51.3
Women with 10 or more years of schooling (%),24.1
Women age 20-24 years married before age 18 years (%),21.1
Births in the 5 years preceding the survey that are third or higher order (%),4.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.3
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),60.2
Any method (%),65.9
Any modern method (%),40.1
Female sterilization (%),8.6
Male sterilization (%),0.0
IUD/PPIUD (%),0.6
Pill (%),2.5
Condom (%),26.2
Injectables (%),1.1
Total unmet need(%),8.5
Unmet need for spacing (%),3.9
Health worker ever talked to female non-users about family planning (%),19.6
Current users ever told about side effects of current method (%),(81.2)
Mothers who had an antenatal check-up in the first trimester (%),60.8
Mothers who had at least 4 antenatal care visits (%),32.9
Mothers whose last birth was protected against neonatal tetanus (%),90.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),21.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),5.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.5
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),67.5
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,214"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),67.5
Institutional births (%),74.2
Institutional births in public facility (%),45.1
Home births that were conducted by skilled health personnel (%),5.2
Births attended by skilled health personnel (%),78.2
Births delivered by caesarean section (%),8.1
Births in a private health facility that were delivered by caesarean section (%),25.5
Births in a public health facility that were delivered by caesarean section (%),1.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),83.0
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),89.6
Children age 12-23 months who have received BCG (%),95.7
Children age 12-23 months who have received 3 doses of polio vaccine (%),84.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),89.6
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),91.3
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.7
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),73.5
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.7
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.7
