,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),71.3,66.2
1,Population below age 15 years (%),32.7,36.4
2,"Sex ratio of the total population (females per 1,000 males)","1,003",988
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,038","1,099"
4,Children under age 5 years whose birth was registered with the civil authority (%),81.1,41.0
5,Deaths in the last 3 years registered with the civil authority (%),35.2,na
6,Population living in households with electricity (%),87.3,71.9
7,Population living in households with an improved drinking-water source (%),99.9,99.8
8,Population living in households that use an improved sanitation facility(%),70.1,24.1
9,Households using clean fuel for cooking (%),35.5,19.2
10,Households using iodized salt (%),80.6,94.5
11,Households with any usual member covered under a health insurance/financing scheme (%),15.3,5.2
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),17.4,na
13,Women who are literate (%),64.8,na
14,Women with 10 or more years of schooling (%),37.3,28.4
15,Women age 20-24 years married before age 18 years (%),10.4,16.7
16,Births in the 5 years preceding the survey that are third or higher order (%),4.3,4.8
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.3,4.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),66.5,34.4
19,Any method (%),69.4,36.5
20,Any modern method (%),60.3,20.2
21,Female sterilization (%),7.7,6.6
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),1.5,2.5
24,Pill (%),4.7,2.0
25,Condom (%),43.9,8.8
26,Injectables (%),0.6,0.4
27,Total unmet need(%),7.2,22.5
28,Unmet need for spacing (%),2.9,7.2
29,Health worker ever talked to female non-users about family planning (%),31.3,8.8
30,Current users ever told about side effects of current method (%),75.9,(50.7)
31,Mothers who had an antenatal check-up in the first trimester (%),65.6,41.8
32,Mothers who had at least 4 antenatal care visits (%),46.4,11.4
33,Mothers whose last birth was protected against neonatal tetanus (%),92.9,81.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),25.4,10.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),10.5,2.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.2,83.8
37,days of delivery (%),70.3,44.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,914","1,314"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.5,0.9
40,days of delivery (%),66.8,na
41,Institutional births (%),76.4,62.4
42,Institutional births in public facility (%),56.5,44.2
43,Home births that were conducted by skilled health personnel (%),8.8,2.4
44,Births attended by skilled health personnel (%),81.5,63.3
45,Births delivered by caesarean section (%),11.8,4.4
46,Births in a private health facility that were delivered by caesarean section (%),48.0,22.9
47,Births in a public health facility that were delivered by caesarean section (%),4.0,0.4
48,mother's recall (%),55.8,48.7
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),56.8,60.3
50,Children age 12-23 months who have received BCG (%),92.7,86.7
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),62.9,67.4
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),73.2,59.0
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),82.2,67.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),31.6,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),20.6,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),68.0,46.4
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.7,39.6
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),99.0,76.6
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,2.7
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.6,17.5
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(64.5),32.3
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(48.8),15.1
