,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),67.9,68.2
2,Population below age 15 years (%),31.9,33.0
3,"Sex ratio of the total population (females per 1,000 males)","1,029",921
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",989,951
5,Children under age 5 years whose birth was registered with the civil authority (%),54.3,53.0
6,Deaths in the last 3 years registered with the civil authority (%),36.3,na
7,Population living in households with electricity (%),94.9,88.7
8,Population living in households with an improved drinking-water source (%),99.0,100.0
9,Population living in households that use an improved sanitation facility(%),73.3,33.0
10,Households using clean fuel for cooking (%),46.5,30.2
11,Households using iodized salt (%),93.9,95.4
12,Households with any usual member covered under a health insurance/financing scheme (%),10.9,4.8
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.0,na
15,Women who are literate (%),65.5,na
16,Women with 10 or more years of schooling (%),39.1,36.6
18,Women age 20-24 years married before age 18 years (%),28.1,29.5
19,Births in the 5 years preceding the survey that are third or higher order (%),4.8,6.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.7,8.6
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),66.9,55.0
23,Any method (%),57.5,60.1
24,Any modern method (%),37.5,35.2
25,Female sterilization (%),14.6,18.6
26,Male sterilization (%),0.0,0.1
27,IUD/PPIUD (%),2.4,1.6
28,Pill (%),3.3,2.5
29,Condom (%),15.2,12.2
30,Injectables (%),1.1,0.2
32,Total unmet need(%),13.8,13.2
33,Unmet need for spacing (%),4.8,6.6
35,Health worker ever talked to female non-users about family planning (%),14.3,7.6
36,Current users ever told about side effects of current method (%),56.3,54.5
39,Mothers who had an antenatal check-up in the first trimester (%),49.1,50.2
40,Mothers who had at least 4 antenatal care visits (%),27.8,24.4
41,Mothers whose last birth was protected against neonatal tetanus (%),87.9,87.8
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),15.0,13.3
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),6.5,5.3
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),90.0,84.4
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),50.8,64.0
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,896","1,236"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),1.6,1.0
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),51.8,na
52,Institutional births (%),80.3,72.1
53,Institutional births in public facility (%),54.0,45.2
54,Home births that were conducted by skilled health personnel (%),5.0,8.1
55,Births attended by skilled health personnel (%),82.5,79.6
56,Births delivered by caesarean section (%),13.9,8.5
57,Births in a private health facility that were delivered by caesarean section (%),40.7,27.4
58,Births in a public health facility that were delivered by caesarean section (%),5.8,2.5
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),71.6,61.2
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),79.5,67.9
63,Children age 12-23 months who have received BCG (%),95.1,90.1
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),76.1,77.0
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.2,72.8
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.4,72.7
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),40.1,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),27.6,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),72.6,62.3
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),61.7,31.7
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),92.5,74.9
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),4.2,1.9
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.5,15.3
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),52.7,20.3
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),23.8,5.6
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),71.1,60.6
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.6,4.6
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),54.7,67.9
