,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),76.8,76.6
2,Population below age 15 years (%),22.9,25.5
3,"Sex ratio of the total population (females per 1,000 males)","1,062","1,026"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",819,766
5,Children under age 5 years whose birth was registered with the civil authority (%),99.1,98.0
6,Deaths in the last 3 years registered with the civil authority (%),83.3,na
7,Population living in households with electricity (%),99.2,99.2
8,Population living in households with an improved drinking-water source (%),99.5,99.7
9,Population living in households that use an improved sanitation facility(%),61.3,39.6
10,Households using clean fuel for cooking (%),75.6,52.8
11,Households using iodized salt (%),88.1,73.6
12,Households with any usual member covered under a health insurance/financing scheme (%),64.4,73.2
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(15.9),na
15,Women who are literate (%),78.3,na
16,Women with 10 or more years of schooling (%),50.1,46.5
18,Women age 20-24 years married before age 18 years (%),12.6,15.0
19,Births in the 5 years preceding the survey that are third or higher order (%),0.8,1.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.9,7.8
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),99.1,91.6
23,Any method (%),65.3,55.5
24,Any modern method (%),63.5,55.1
25,Female sterilization (%),58.1,53.0
26,Male sterilization (%),0.0,0.1
27,IUD/PPIUD (%),2.7,1.0
28,Pill (%),0.4,0.3
29,Condom (%),1.8,0.2
30,Injectables (%),0.0,0.0
32,Total unmet need(%),9.2,13.0
33,Unmet need for spacing (%),3.6,5.6
35,Health worker ever talked to female non-users about family planning (%),24.0,32.6
36,Current users ever told about side effects of current method (%),75.1,77.8
39,Mothers who had an antenatal check-up in the first trimester (%),75.5,60.7
40,Mothers who had at least 4 antenatal care visits (%),82.2,85.5
41,Mothers whose last birth was protected against neonatal tetanus (%),88.1,79.0
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),68.5,63.9
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),52.6,39.7
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.3,97.2
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.7,83.8
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,803","3,303"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.9,na
52,Institutional births (%),99.2,98.0
53,Institutional births in public facility (%),72.5,77.0
54,Home births that were conducted by skilled health personnel (%),0.4,0.9
55,Births attended by skilled health personnel (%),99.1,99.5
56,Births delivered by caesarean section (%),51.4,40.2
57,Births in a private health facility that were delivered by caesarean section (%),64.5,54.6
58,Births in a public health facility that were delivered by caesarean section (%),47.1,37.4
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(79.0),(64.2)
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(77.3),(70.8)
63,Children age 12-23 months who have received BCG (%),(88.6),(94.4)
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),(84.8),(80.8)
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(91.5),(85.1)
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(97.3),(80.9)
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(50.6),na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(68.0),na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(91.5),(58.8)
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.7,65.0
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.2),(94.6)
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(2.8),(5.4)
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.4,6.8
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,1.8
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(82.6),(78.5)
82,Children under age 3 years breastfed within one hour of birth (%),61.7,54.0
83,Children under age 6 months exclusively breastfed (%),*,*
84,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
85,Breastfeeding children age 6-23 months receiving an adequate diet (%),(12.3),19.7
86,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
87,Total children age 6-23 months receiving an adequate diet (%),23.2,25.0
88,Children under 5 years who are stunted (height-for-age) (%),20.2,28.2
89,Children under 5 years who are wasted (weight-for-height) (%),13.9,19.7
90,Children under 5 years who are severely wasted (weight-for-height) (%),4.0,7.0
91,Children under 5 years who are underweight (weight-for-age) (%),18.0,25.0
92,Children under 5 years who are overweight (weight-for-height) (%),1.6,3.8
94,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.8,19.3
95,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),35.1,29.0
96,Women who have high risk waist-to-hip ratio (≥0.85) (%),55.2,na
98,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),64.8,53.2
99,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.6,59.8
100,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(60.8)
101,All women age 15-49 years who are anaemic (%),58.6,59.8
102,All women age 15-19 years who are anaemic (%),55.6,59.4
105,Women - Blood sugar level - high (141-160 mg/dl)(%),8.3,na
106,Women - Blood sugar level - very high (>160 mg/dl)(%),11.0,na
107,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.5,na
109,Men - Blood sugar level - high (141-160 mg/dl)(%),7.4,na
110,Men - Blood sugar level - very high (>160 mg/dl) (%),11.5,na
111,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.7,na
114,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.8,na
115,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.5,na
117,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.1,na
119,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.9,na
120,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.3,na
122,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),27.0,na
124,Ever undergone a screening test for cervical cancer (%),7.1,na
125,Ever undergone a breast examination for breast cancer (%),4.6,na
126,Ever undergone an oral cavity examination for oral cancer (%),0.6,na
128,Women age 15 years and above who use any kind of tobacco (%),7.5,na
129,Men age 15 years and above who use any kind of tobacco (%),24.4,na
130,Women age 15 years and above who consume alcohol (%),0.6,na
131,Men age 15 years and above who consume alcohol (%),32.6,na
