District,Agency,Households,Women,Men
Ariyalur,"School of Public Health, SRM University",864,765,93
Chennai,"School of Public Health, SRM University",743,660,101
Coimbatore,"School of Public Health, SRM University",877,763,95
Cuddalore,"School of Public Health, SRM University",876,859,98
Dharmapuri,"School of Public Health, SRM University",911,827,101
Dindigul,"School of Public Health, SRM University",924,951,142
Erode,"School of Public Health, SRM University",877,774,110
Kancheepuram,"School of Public Health, SRM University",816,796,102
Kanniyakumari,"School of Public Health, SRM University",839,711,103
Karur,"School of Public Health, SRM University",862,689,93
Krishnagiri,"School of Public Health, SRM University",922,909,130
Madurai,"School of Public Health, SRM University",914,844,131
Nagapattinam,"School of Public Health, SRM University",862,794,96
Namakkal,"School of Public Health, SRM University",888,700,109
Perambalur,"School of Public Health, SRM University",860,724,87
Pudukkottai,"School of Public Health, SRM University",895,871,101
Ramanathapuram,"School of Public Health, SRM University",899,913,120
Salem,"School of Public Health, SRM University",882,754,99
Sivaganga,"School of Public Health, SRM University",922,887,106
Thanjavur,"School of Public Health, SRM University",826,687,83
The Nilgiris,"School of Public Health, SRM University",904,850,120
Theni,"School of Public Health, SRM University",920,979,139
Thiruvallur,"School of Public Health, SRM University",806,775,124
Thiruvarur,"School of Public Health, SRM University",864,783,98
Thoothukkudi,"School of Public Health, SRM University",848,774,99
Tiruchirappalli,"School of Public Health, SRM University",851,764,89
Tirunelveli,"School of Public Health, SRM University",873,777,92
Tiruppur,"School of Public Health, SRM University",877,726,85
Tiruvannamalai,"School of Public Health, SRM University",874,786,108
Vellore,"School of Public Health, SRM University",880,886,108
Viluppuram,"School of Public Health, SRM University",859,812,109
Virudhunagar,"School of Public Health, SRM University",914,860,101
