,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),85.0,82.5
2,Population below age 15 years (%),19.2,21.5
3,"Sex ratio of the total population (females per 1,000 males)","1,002",964
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",889,"1,087"
5,Children under age 5 years whose birth was registered with the civil authority (%),97.5,99.5
6,Deaths in the last 3 years registered with the civil authority (%),93.8,na
7,Population living in households with electricity (%),99.4,99.8
8,Population living in households with an improved drinking-water source (%),99.4,96.2
9,Population living in households that use an improved sanitation facility(%),75.9,66.9
10,Households using clean fuel for cooking (%),88.1,86.7
11,Households using iodized salt (%),88.8,91.1
12,Households with any usual member covered under a health insurance/financing scheme (%),59.7,53.2
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(44.2),na
15,Women who are literate (%),82.6,na
16,Women with 10 or more years of schooling (%),56.8,58.0
18,Women age 20-24 years married before age 18 years (%),10.0,12.3
19,Births in the 5 years preceding the survey that are third or higher order (%),0.0,1.3
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.5,2.3
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.8,93.0
23,Any method (%),69.3,61.6
24,Any modern method (%),67.3,61.4
25,Female sterilization (%),59.6,57.2
26,Male sterilization (%),0.2,0.0
27,IUD/PPIUD (%),4.7,1.8
28,Pill (%),0.2,0.5
29,Condom (%),2.3,1.4
30,Injectables (%),0.2,0.3
32,Total unmet need(%),7.2,9.6
33,Unmet need for spacing (%),4.2,4.5
35,Health worker ever talked to female non-users about family planning (%),15.7,31.4
36,Current users ever told about side effects of current method (%),62.1,72.7
39,Mothers who had an antenatal check-up in the first trimester (%),62.6,57.5
40,Mothers who had at least 4 antenatal care visits (%),76.1,73.6
41,Mothers whose last birth was protected against neonatal tetanus (%),76.8,75.3
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),73.5,60.4
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),47.9,38.5
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.6,97.6
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.3,83.6
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,531","2,639"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.0,na
52,Institutional births (%),100.0,100.0
53,Institutional births in public facility (%),68.5,64.5
54,Home births that were conducted by skilled health personnel (%),0.0,0.0
55,Births attended by skilled health personnel (%),100.0,100.0
56,Births delivered by caesarean section (%),40.2,35.5
57,Births in a private health facility that were delivered by caesarean section (%),60.2,42.5
58,Births in a public health facility that were delivered by caesarean section (%),31.0,31.7
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(69.1),(56.8)
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(81.5),(61.4)
63,Children age 12-23 months who have received BCG (%),(97.1),(92.2)
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),(74.8),(79.1)
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(92.3),(81.2)
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(88.4),(70.8)
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(36.4),na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(54.3),na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(86.1),(68.4)
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),67.9,72.1
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(83.1),(70.0)
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(16.9),(30.1)
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.1,3.7
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.3,2.0
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
