Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),73.1,73.2
Population below age 15 years (%),18.2,21.3
"Sex ratio of the total population (females per 1,000 males)","1,112","1,001"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",807,932
Children under age 5 years whose birth was registered with the civil authority (%),99.6,98.9
Deaths in the last 3 years registered with the civil authority (%),93.8,na
Population living in households with electricity (%),99.6,98.9
Population living in households with an improved drinking-water source (%),98.9,99.9
Population living in households that use an improved sanitation facility(%),67.6,62.7
Households using clean fuel for cooking (%),95.9,87.4
Households using iodized salt (%),97.6,87.3
Households with any usual member covered under a health insurance/financing scheme (%),77.7,60.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(20.7),na
Women who are literate (%),82.4,na
Women with 10 or more years of schooling (%),57.8,49.0
Women age 20-24 years married before age 18 years (%),13.7,22.4
Births in the 5 years preceding the survey that are third or higher order (%),0.3,0.5
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),14.8,6.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),98.7,94.1
Any method (%),70.6,63.0
Any modern method (%),67.4,62.3
Female sterilization (%),61.3,57.8
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),3.6,3.0
Pill (%),0.4,0.0
Condom (%),1.8,1.2
Injectables (%),0.2,0.2
Total unmet need(%),4.9,7.8
Unmet need for spacing (%),2.0,4.6
Health worker ever talked to female non-users about family planning (%),51.5,32.5
Current users ever told about side effects of current method (%),96.4,67.5
Mothers who had an antenatal check-up in the first trimester (%),87.8,65.4
Mothers who had at least 4 antenatal care visits (%),93.9,77.2
Mothers whose last birth was protected against neonatal tetanus (%),97.5,63.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),82.2,68.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),51.3,43.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,100.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),96.5,81.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,401","2,439"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),98.4,na
Institutional births (%),100.0,100.0
