,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Population and Household Profile,,Urban  Rural,Total,Total
1,Female population age 6 years and above who ever attended school (%),86.8,74.5,80.4,77.2
2,Population below age 15 years (%),20.0,21.9,21.0,23.3
3,"Sex ratio of the total population (females per 1,000 males)","1,062","1,113","1,088","1,033"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",893,867,878,954
5,Children under age 5 years whose birth was registered with the civil authority (%),98.3,98.3,98.3,98.3
6,Deaths in the last 3 years registered with the civil authority (%),94.9,91.6,93.0,na
7,Population living in households with electricity (%),99.6,99.1,99.3,99.0
8,Population living in households with an improved drinking-water source (%),99.1,98.1,98.6,97.7
9,Population living in households that use an improved sanitation facility(%),82.8,63.3,72.6,52.5
10,Households using clean fuel for cooking (%),92.9,73.7,82.9,73.0
11,Households using iodized salt (%),95.0,89.3,92.0,82.8
12,Households with any usual member covered under a health insurance/financing scheme (%),61.1,71.4,66.5,64.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),31.4,19.9,25.2,na
14,Women who are literate (%),88.9,79.6,84.0,na
15,Men who are literate (%),92.0,89.6,90.7,na
16,Women with 10 or more years of schooling (%),63.7,49.9,56.6,50.9
17,Men with 10 or more years of schooling (%),64.4,54.3,59.1,58.3
18,Women who have ever used the internet (%),55.8,39.2,46.9,na
19,Men who have ever used the internet (%),76.1,64.9,70.2,na
20,Women age 20-24 years married before age 18 years (%),10.4,15.2,12.8,16.3
21,Men age 25-29 years married before age 21 years (%),6.0,3.3,4.5,9.0
22,Total fertility rate (children per woman),1.6,1.9,1.8,1.7
23,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.2,8.2,6.3,5.0
24,Adolescent fertility rate for women age 15-19 years,23,44,34,39
25,Neonatal mortality rate (NNMR),8.5,16.1,12.7,14.0
26,Infant mortality rate (IMR),14.9,21.7,18.6,20.2
27,Under-five mortality rate (U5MR),17.3,26.4,22.3,26.8
28,Any method (%),67.6,69.5,68.6,53.2
29,Any modern method (%),64.0,66.8,65.5,52.6
30,Female sterilization (%),55.6,59.9,57.8,49.4
31,Male sterilization (%),0.1,0.1,0.1,0.0
32,IUD/PPIUD (%),4.8,4.7,4.8,1.9
33,Pill (%),0.4,0.3,0.3,0.2
34,Condom (%),2.6,1.2,1.8,0.8
35,Injectables (%),0.1,0.3,0.2,0.1
36,Total unmet need(%),8.1,6.9,7.5,10.1
37,Unmet need for spacing (%),3.3,2.8,3.0,4.8
38,Health worker ever talked to female non-users about family planning (%),27.4,29.5,28.5,30.2
39,Current users ever told about side effects of current method (%),83.0,82.3,82.6,76.6
40,Mothers who had an antenatal check-up in the first trimester (%),76.7,78.0,77.4,64.0
41,Mothers who had at least 4 antenatal care visits (%),88.8,90.8,89.9,81.1
42,Mothers whose last birth was protected against neonatal tetanus (%),89.5,89.9,89.7,71.0
43,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),84.2,81.0,82.5,64.0
44,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),66.4,60.3,63.1,40.1
45,Registered pregnancies for which the mother received a Mother and Child Protection (MCP)card (%),98.1,99.4,98.8,96.0
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),92.5,93.7,93.2,74.0
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,647","3,097","3,316","2,609"
48,Children born at home who were taken to a health facility for a check-up within 24 hours ofbirth (%),*,*,*,(11.3)
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),95.1,94.8,94.9,na
50,Institutional births (%),99.8,99.4,99.6,98.9
51,Institutional births in public facility (%),58.0,74.0,66.9,66.7
52,Home births that were conducted by skilled health personnel (%),0.2,0.3,0.2,0.6
53,Births attended by skilled health personnel (%),100.0,99.7,99.8,99.2
54,Births delivered by caesarean section (%),47.5,42.9,44.9,34.1
55,Births in a private health facility that were delivered by caesarean section (%),61.5,66.7,63.8,51.3
56,Births in a public health facility that were delivered by caesarean section (%),37.5,35.1,36.0,26.3
57,Children age 12-23 months fully vaccinated based on information from either vaccination cardor mother's recall (%),86.4,91.7,89.2,69.7
58,Children age 12-23 months fully vaccinated based on information from vaccination cardonly (%),89.4,91.3,90.4,76.1
59,Children age 12-23 months who have received BCG (%),96.9,98.2,97.6,94.9
60,Children age 12-23 months who have received 3 doses of polio vaccine (%),89.9,92.9,91.5,82.3
61,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.0,96.3,94.8,84.5
62,Children age 12-23 months who have received the first dose of measles-containingvaccine (MCV) (%),94.7,96.8,95.8,85.1
63,Children age 24-35 months who have received a second dose of measles-containingvaccine (MCV) (%),40.9,48.0,44.7,na
64,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),65.8,67.0,66.4,na
65,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),90.4,94.1,92.3,68.2
66,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),68.3,68.0,68.2,73.0
67,Children age 12-23 months who received most of their vaccinations in a public healthfacility (%),83.1,95.6,89.8,86.1
68,Children age 12-23 months who received most of their vaccinations in a private healthfacility (%),16.9,4.2,10.1,14.0
69,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.6,3.8,3.7,8.0
70,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydrationsalts (ORS) (%),51.0,55.9,53.8,61.8
71,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),26.9,30.4,28.9,41.3
72,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or healthprovider (%),62.0,58.9,60.2,73.2
73,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding thesurvey (%),1.4,0.9,1.1,2.8
74,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a healthfacility or health provider (%),68.0,67.0,67.4,82.2
75,Children under age 3 years breastfed within one hour of birth (%),60.0,60.4,60.2,54.7
76,Children under age 6 months exclusively breastfed (%),45.5,61.9,55.1,48.3
77,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),70.2,64.0,66.5,67.5
78,Breastfeeding children age 6-23 months receiving an adequate diet (%),14.9,11.2,12.8,21.4
79,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),23.5,24.6,24.1,47.1
80,Total children age 6-23 months receiving an adequate diet (%),17.9,15.0,16.3,30.7
81,Children under 5 years who are stunted (height-for-age) (%),22.2,27.2,25.0,27.1
82,Children under 5 years who are wasted (weight-for-height) (%),13.9,15.2,14.6,19.7
83,Children under 5 years who are severely wasted (weight-for-height) (%),5.3,5.6,5.5,7.9
84,Children under 5 years who are underweight (weight-for-age) (%),20.0,23.5,22.0,23.8
85,Children under 5 years who are overweight (weight-for-height) (%),5.1,3.7,4.3,5.0
86,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.7,15.2,12.6,14.6
87,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),11.3,12.8,12.1,12.4
