,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),74.7,72.5
2,Population below age 15 years (%),23.7,25.4
3,"Sex ratio of the total population (females per 1,000 males)","1,095","1,087"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",804,999
5,Children under age 5 years whose birth was registered with the civil authority (%),98.4,100.0
6,Deaths in the last 3 years registered with the civil authority (%),86.9,na
7,Population living in households with electricity (%),98.9,97.7
8,Population living in households with an improved drinking-water source (%),95.7,92.7
9,Population living in households that use an improved sanitation facility(%),55.2,35.3
10,Households using clean fuel for cooking (%),42.0,38.9
11,Households using iodized salt (%),90.6,85.1
12,Households with any usual member covered under a health insurance/financing scheme (%),72.9,77.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),12.4,na
15,Women who are literate (%),81.1,na
16,Women with 10 or more years of schooling (%),52.2,48.7
18,Women age 20-24 years married before age 18 years (%),11.6,13.4
19,Births in the 5 years preceding the survey that are third or higher order (%),0.4,0.6
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),11.3,4.5
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.1,88.3
23,Any method (%),68.0,40.6
24,Any modern method (%),64.3,38.7
25,Female sterilization (%),55.8,33.6
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),6.0,2.7
28,Pill (%),0.7,0.1
29,Condom (%),1.2,2.0
30,Injectables (%),0.0,0.0
32,Total unmet need(%),12.2,13.1
33,Unmet need for spacing (%),5.6,5.2
35,Health worker ever talked to female non-users about family planning (%),24.6,29.8
36,Current users ever told about side effects of current method (%),82.3,85.5
39,Mothers who had an antenatal check-up in the first trimester (%),77.9,58.4
40,Mothers who had at least 4 antenatal care visits (%),91.6,76.9
41,Mothers whose last birth was protected against neonatal tetanus (%),89.9,75.4
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),73.7,60.2
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),53.3,42.6
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.2,92.1
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.4,66.3
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,610","3,709"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),94.5,na
52,Institutional births (%),100.0,99.7
53,Institutional births in public facility (%),68.6,68.7
54,Home births that were conducted by skilled health personnel (%),0.0,0.0
55,Births attended by skilled health personnel (%),100.0,99.3
56,Births delivered by caesarean section (%),41.2,39.9
57,Births in a private health facility that were delivered by caesarean section (%),65.2,62.6
58,Births in a public health facility that were delivered by caesarean section (%),30.1,29.9
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),83.3,54.3
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),75.9,(48.7)
63,Children age 12-23 months who have received BCG (%),92.1,90.3
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),90.7,73.6
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),97.1,70.0
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.6,76.9
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),49.3,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),47.0,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),97.1,43.6
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.0,72.2
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.6,(92.7)
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),6.5,(7.3)
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.1,5.6
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.3,1.4
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(63.8),(65.6)
82,Children under age 3 years breastfed within one hour of birth (%),46.5,38.2
83,Children under age 6 months exclusively breastfed (%),*,(37.7)
84,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
85,Breastfeeding children age 6-23 months receiving an adequate diet (%),(25.2),24.9
86,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(17.7),(58.1)
87,Total children age 6-23 months receiving an adequate diet (%),22.3,37.1
88,Children under 5 years who are stunted (height-for-age) (%),32.2,26.7
89,Children under 5 years who are wasted (weight-for-height) (%),9.5,20.9
90,Children under 5 years who are severely wasted (weight-for-height) (%),1.6,5.4
91,Children under 5 years who are underweight (weight-for-age) (%),21.6,25.0
92,Children under 5 years who are overweight (weight-for-height) (%),2.8,3.6
94,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),20.3,23.5
95,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),32.0,24.7
96,Women who have high risk waist-to-hip ratio (≥0.85) (%),59.8,na
98,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),71.1,44.9
99,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),62.5,55.1
100,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(62.2),(40.5)
101,All women age 15-49 years who are anaemic (%),62.5,54.7
102,All women age 15-19 years who are anaemic (%),61.8,50.7
105,Women - Blood sugar level - high (141-160 mg/dl)(%),6.5,na
106,Women - Blood sugar level - very high (>160 mg/dl)(%),9.4,na
107,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.5,na
109,Men - Blood sugar level - high (141-160 mg/dl)(%),6.6,na
110,Men - Blood sugar level - very high (>160 mg/dl) (%),13.8,na
111,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),23.0,na
114,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.7,na
115,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.3,na
117,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.0,na
119,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.3,na
120,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.5,na
122,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),30.2,na
124,Ever undergone a screening test for cervical cancer (%),13.4,na
