,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),62.9,57.3
2,Population below age 15 years (%),29.0,32.1
3,"Sex ratio of the total population (females per 1,000 males)","1,037","1,009"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",944,896
5,Children under age 5 years whose birth was registered with the civil authority (%),88.0,72.3
6,Deaths in the last 3 years registered with the civil authority (%),76.5,na
7,Population living in households with electricity (%),96.6,95.6
8,Population living in households with an improved drinking-water source (%),98.2,92.0
9,Population living in households that use an improved sanitation facility(%),80.2,76.1
10,Households using clean fuel for cooking (%),40.6,30.3
11,Households using iodized salt (%),90.9,92.5
12,Households with any usual member covered under a health insurance/financing scheme (%),81.9,18.6
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.8,na
15,Women who are literate (%),63.9,na
16,Women with 10 or more years of schooling (%),33.4,24.6
18,Women age 20-24 years married before age 18 years (%),27.9,36.4
19,Births in the 5 years preceding the survey that are third or higher order (%),3.4,2.8
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.2,8.4
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),87.9,75.2
23,Any method (%),76.7,52.4
24,Any modern method (%),68.4,47.7
25,Female sterilization (%),43.5,37.8
26,Male sterilization (%),1.7,1.0
27,IUD/PPIUD (%),0.9,1.3
28,Pill (%),5.2,1.4
29,Condom (%),15.8,6.1
30,Injectables (%),0.2,0.0
32,Total unmet need(%),7.6,15.9
33,Unmet need for spacing (%),3.5,5.8
35,Health worker ever talked to female non-users about family planning (%),25.3,20.1
36,Current users ever told about side effects of current method (%),42.8,45.9
39,Mothers who had an antenatal check-up in the first trimester (%),72.4,56.7
40,Mothers who had at least 4 antenatal care visits (%),45.0,18.3
41,Mothers whose last birth was protected against neonatal tetanus (%),87.3,95.0
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),31.4,17.7
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.9,6.8
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.4,94.3
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.9,61.1
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,104","1,330"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(2.2),1.1
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),75.2,na
52,Institutional births (%),87.8,80.6
53,Institutional births in public facility (%),67.4,61.8
54,Home births that were conducted by skilled health personnel (%),3.4,6.7
55,Births attended by skilled health personnel (%),89.9,86.0
56,Births delivered by caesarean section (%),8.2,3.7
57,Births in a private health facility that were delivered by caesarean section (%),23.8,11.4
58,Births in a public health facility that were delivered by caesarean section (%),4.9,2.4
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),74.3,57.4
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),82.4,(66.9)
63,Children age 12-23 months who have received BCG (%),93.0,94.1
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),79.1,64.9
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),88.2,79.6
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.1,83.7
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),35.8,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),52.5,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),85.7,58.5
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),61.4,35.6
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,97.7
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.1
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.2,6.1
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(61.9),(47.9)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(16.3),(7.9)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(75.7),(59.4)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.2,0.5
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),73.8,(84.5)
