,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),54.8,54.2
2,Population below age 15 years (%),25.9,28.7
3,"Sex ratio of the total population (females per 1,000 males)",987,987
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",969,880
5,Children under age 5 years whose birth was registered with the civil authority (%),87.5,79.3
6,Deaths in the last 3 years registered with the civil authority (%),67.5,na
7,Population living in households with electricity (%),97.8,97.9
8,Population living in households with an improved drinking-water source (%),90.9,91.3
9,Population living in households that use an improved sanitation facility(%),66.2,35.6
10,Households using clean fuel for cooking (%),24.1,21.5
11,Households using iodized salt (%),96.9,96.4
12,Households with any usual member covered under a health insurance/financing scheme (%),84.5,23.8
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),15.2,na
15,Women who are literate (%),55.2,na
16,Women with 10 or more years of schooling (%),27.3,22.4
18,Women age 20-24 years married before age 18 years (%),37.2,47.3
19,Births in the 5 years preceding the survey that are third or higher order (%),1.6,2.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.1,4.5
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),82.2,52.9
23,Any method (%),69.1,66.0
24,Any modern method (%),61.3,56.0
25,Female sterilization (%),47.3,41.7
26,Male sterilization (%),0.1,0.4
27,IUD/PPIUD (%),1.3,1.4
28,Pill (%),1.9,3.0
29,Condom (%),9.0,9.4
30,Injectables (%),0.6,0.2
32,Total unmet need(%),8.7,9.9
33,Unmet need for spacing (%),4.4,5.8
35,Health worker ever talked to female non-users about family planning (%),16.5,22.3
36,Current users ever told about side effects of current method (%),51.1,59.3
39,Mothers who had an antenatal check-up in the first trimester (%),78.8,74.7
40,Mothers who had at least 4 antenatal care visits (%),66.2,49.5
41,Mothers whose last birth was protected against neonatal tetanus (%),93.6,94.9
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33.5,19.5
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),11.6,4.6
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,97.8
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),84.5,85.7
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,303",805
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.1,na
52,Institutional births (%),97.4,93.4
53,Institutional births in public facility (%),84.9,76.3
54,Home births that were conducted by skilled health personnel (%),0.5,2.4
55,Births attended by skilled health personnel (%),97.9,95.8
56,Births delivered by caesarean section (%),12.9,6.2
57,Births in a private health facility that were delivered by caesarean section (%),(36.9),14.7
58,Births in a public health facility that were delivered by caesarean section (%),9.7,4.9
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),75.3,75.9
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(80.3),(83.6)
63,Children age 12-23 months who have received BCG (%),94.4,98.7
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),77.2,82.7
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.5,92.8
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.7,93.2
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),32.2,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),60.9,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.8,74.3
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),52.8,49.2
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.6,98.6
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.4
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),8.6,4.1
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(52.6),*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(28.0),*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(79.2),*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.7,0.5
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),72.8,(81.0)
