,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),56.5,54.7
1,Population below age 15 years (%),32.1,33.5
2,"Sex ratio of the total population (females per 1,000 males)",996,988
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",863,936
4,Children under age 5 years whose birth was registered with the civil authority (%),88.9,50.8
5,Deaths in the last 3 years registered with the civil authority (%),65.5,na
6,Population living in households with electricity (%),98.7,94.8
7,Population living in households with an improved drinking-water source (%),94.8,88.4
8,Population living in households that use an improved sanitation facility(%),49.9,22.1
9,Households using clean fuel for cooking (%),24.2,14.0
10,Households using iodized salt (%),84.7,87.4
11,Households with any usual member covered under a health insurance/financing scheme (%),86.4,24.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),13.1,na
13,Women who are literate (%),53.3,na
14,Women with 10 or more years of schooling (%),22.7,19.4
15,Women age 20-24 years married before age 18 years (%),33.5,49.8
16,Births in the 5 years preceding the survey that are third or higher order (%),4.2,6.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.0,10.8
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),73.8,47.7
19,Any method (%),72.7,56.0
20,Any modern method (%),61.2,47.9
21,Female sterilization (%),49.5,41.1
22,Male sterilization (%),0.0,0.1
23,IUD/PPIUD (%),1.0,0.8
24,Pill (%),1.5,1.0
25,Condom (%),7.5,4.8
26,Injectables (%),0.7,0.0
27,Total unmet need(%),6.9,13.6
28,Unmet need for spacing (%),3.6,6.5
29,Health worker ever talked to female non-users about family planning (%),22.4,19.2
30,Current users ever told about side effects of current method (%),60.3,55.5
31,Mothers who had an antenatal check-up in the first trimester (%),65.0,47.6
32,Mothers who had at least 4 antenatal care visits (%),42.0,29.3
33,Mothers whose last birth was protected against neonatal tetanus (%),94.5,85.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),14.1,11.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),2.2,3.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.4,88.9
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),89.4,56.0
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,987","1,781"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(0.0)
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),87.5,na
41,Institutional births (%),97.6,88.3
42,Institutional births in public facility (%),76.9,60.3
43,Home births that were conducted by skilled health personnel (%),0.2,1.4
44,Births attended by skilled health personnel (%),97.6,83.6
45,Births delivered by caesarean section (%),2.8,7.6
46,Births in a private health facility that were delivered by caesarean section (%),6.3,18.3
47,Births in a public health facility that were delivered by caesarean section (%),1.9,4.1
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),88.9,54.6
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),93.1,(68.1)
50,Children age 12-23 months who have received BCG (%),98.2,92.8
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),91.2,67.5
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),95.9,66.4
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),95.9,79.1
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),20.6,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),70.0,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),95.9,47.3
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),61.7,49.1
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.4,95.5
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.6,3.4
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.4,9.9
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(67.0),(60.7)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(30.7),(14.9)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(59.3),(78.0)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.4,2.2
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),74.7,75.5
66,Children under age 3 years breastfed within one hour of birth (%),38.4,38.8
67,Children under age 6 months exclusively breastfed (%),(81.3),(64.2)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(30.6),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),7.2,1.7
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet (%),6.3,2.2
72,Children under 5 years who are stunted (height-for-age) (%),37.6,45.5
73,Children under 5 years who are wasted (weight-for-height) (%),26.6,18.9
74,Children under 5 years who are severely wasted (weight-for-height) (%),10.6,5.8
75,Children under 5 years who are underweight (weight-for-age) (%),37.3,35.7
76,Children under 5 years who are overweight (weight-for-height) (%),2.3,1.6
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),23.0,32.2
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),10.5,10.2
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),47.6,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),75.9,52.8
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),61.1,38.2
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(70.1),34.8
83,All women age 15-49 years who are anaemic (%),61.5,38.1
84,All women age 15-19 years who are anaemic (%),60.5,36.4
85,Women - Blood sugar level - high (141-160 mg/dl)(%),3.7,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),2.0,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),6.0,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),5.0,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),2.4,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.8,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),7.5,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),1.7,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),10.6,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.5,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.8,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),13.2,na
97,Ever undergone a screening test for cervical cancer (%),1.0,na
98,Ever undergone a breast examination for breast cancer (%),0.0,na
