,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),59.5,47.4
2,Population below age 15 years (%),31.1,34.6
3,"Sex ratio of the total population (females per 1,000 males)",982,957
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",769,883
5,Children under age 5 years whose birth was registered with the civil authority (%),96.6,64.9
6,Deaths in the last 3 years registered with the civil authority (%),94.0,na
7,Population living in households with electricity (%),98.4,82.4
8,Population living in households with an improved drinking-water source (%),98.3,93.6
9,Population living in households that use an improved sanitation facility(%),77.4,39.9
10,Households using clean fuel for cooking (%),36.5,27.1
11,Households using iodized salt (%),97.0,99.2
12,Households with any usual member covered under a health insurance/financing scheme (%),96.6,9.3
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.7,na
15,Women who are literate (%),60.4,na
16,Women with 10 or more years of schooling (%),22.2,12.6
18,Women age 20-24 years married before age 18 years (%),23.3,32.4
19,Births in the 5 years preceding the survey that are third or higher order (%),2.4,5.8
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.9,4.3
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),79.8,39.1
23,Any method (%),54.2,59.0
24,Any modern method (%),46.2,48.8
25,Female sterilization (%),34.2,41.7
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),0.5,0.5
28,Pill (%),2.1,1.8
29,Condom (%),8.7,4.8
30,Injectables (%),0.3,0.0
32,Total unmet need(%),14.8,13.1
33,Unmet need for spacing (%),6.9,6.7
35,Health worker ever talked to female non-users about family planning (%),27.2,14.0
36,Current users ever told about side effects of current method (%),75.7,24.1
39,Mothers who had an antenatal check-up in the first trimester (%),75.9,81.3
40,Mothers who had at least 4 antenatal care visits (%),50.4,49.1
41,Mothers whose last birth was protected against neonatal tetanus (%),90.9,95.7
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),45.1,16.6
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),25.8,6.3
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.2,92.0
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.5,73.6
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,927","2,386"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(4.7)
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.8,na
52,Institutional births (%),95.8,92.0
53,Institutional births in public facility (%),54.8,49.1
54,Home births that were conducted by skilled health personnel (%),1.1,3.7
55,Births attended by skilled health personnel (%),94.9,95.3
56,Births delivered by caesarean section (%),17.2,10.9
57,Births in a private health facility that were delivered by caesarean section (%),26.5,20.9
58,Births in a public health facility that were delivered by caesarean section (%),11.7,3.9
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),70.0,56.8
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),71.3,(62.6)
63,Children age 12-23 months who have received BCG (%),95.7,90.7
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),77.6,63.9
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),80.6,69.1
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),86.5,82.0
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),22.5,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),38.0,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),79.3,54.5
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),68.1,45.6
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.2,84.4
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),6.9,15.6
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.9,9.4
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(63.4)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(14.3)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(80.8)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.2,3.2
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(71.8),89.9
