,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),55.6,53.4
2,Population below age 15 years (%),25.7,28.4
3,"Sex ratio of the total population (females per 1,000 males)",977,948
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",905,807
5,Children under age 5 years whose birth was registered with the civil authority (%),97.0,78.4
6,Deaths in the last 3 years registered with the civil authority (%),76.2,na
7,Population living in households with electricity (%),99.3,96.1
8,Population living in households with an improved drinking-water source (%),92.4,85.3
9,Population living in households that use an improved sanitation facility(%),62.1,37.3
10,Households using clean fuel for cooking (%),33.8,25.5
11,Households using iodized salt (%),95.5,96.6
12,Households with any usual member covered under a health insurance/financing scheme (%),93.6,11.6
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.6,na
15,Women who are literate (%),54.3,na
16,Women with 10 or more years of schooling (%),22.4,20.2
18,Women age 20-24 years married before age 18 years (%),37.8,36.3
19,Births in the 5 years preceding the survey that are third or higher order (%),1.3,1.5
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.6,3.8
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),62.1,39.7
23,Any method (%),74.4,68.2
24,Any modern method (%),67.8,60.0
25,Female sterilization (%),49.3,47.4
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),0.4,0.4
28,Pill (%),1.9,2.0
29,Condom (%),13.8,10.2
30,Injectables (%),0.7,0.0
32,Total unmet need(%),6.8,9.4
33,Unmet need for spacing (%),4.3,4.8
35,Health worker ever talked to female non-users about family planning (%),27.4,18.0
36,Current users ever told about side effects of current method (%),67.2,38.6
39,Mothers who had an antenatal check-up in the first trimester (%),89.9,66.0
40,Mothers who had at least 4 antenatal care visits (%),72.3,36.5
41,Mothers whose last birth was protected against neonatal tetanus (%),95.9,97.8
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),30.3,19.3
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),9.1,8.3
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.8,98.8
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.7,74.1
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,692",846
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.0,na
52,Institutional births (%),98.3,93.9
53,Institutional births in public facility (%),92.2,88.0
54,Home births that were conducted by skilled health personnel (%),0.5,1.4
55,Births attended by skilled health personnel (%),98.5,95.3
56,Births delivered by caesarean section (%),8.6,7.7
57,Births in a private health facility that were delivered by caesarean section (%),*,*
58,Births in a public health facility that were delivered by caesarean section (%),6.6,6.9
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),81.5,75.4
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),92.0,(82.5)
63,Children age 12-23 months who have received BCG (%),98.8,96.7
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),83.9,77.2
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.8,82.3
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.6,91.4
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),34.6,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),77.6,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89.3,72.0
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),67.8,66.1
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,100.0
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.7,4.1
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.1,1.3
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(59.3),*
