,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),63.2,62.7
2,Population below age 15 years (%),34.9,37.8
3,"Sex ratio of the total population (females per 1,000 males)","1,002",917
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",929,852
5,Children under age 5 years whose birth was registered with the civil authority (%),73.7,47.2
6,Deaths in the last 3 years registered with the civil authority (%),50.5,na
7,Population living in households with electricity (%),97.5,92.4
8,Population living in households with an improved drinking-water source (%),94.8,94.5
9,Population living in households that use an improved sanitation facility(%),57.5,31.0
10,Households using clean fuel for cooking (%),36.5,20.7
11,Households using iodized salt (%),78.0,85.6
12,Households with any usual member covered under a health insurance/financing scheme (%),89.0,32.5
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),16.2,na
15,Women who are literate (%),57.7,na
16,Women with 10 or more years of schooling (%),27.0,21.9
18,Women age 20-24 years married before age 18 years (%),29.6,35.4
19,Births in the 5 years preceding the survey that are third or higher order (%),6.0,5.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.2,8.7
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),76.0,54.3
23,Any method (%),67.9,53.7
24,Any modern method (%),52.9,45.1
25,Female sterilization (%),35.1,37.5
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),1.3,0.4
28,Pill (%),2.2,2.2
29,Condom (%),11.5,5.0
30,Injectables (%),1.2,0.0
32,Total unmet need(%),10.9,16.4
33,Unmet need for spacing (%),4.5,7.3
35,Health worker ever talked to female non-users about family planning (%),17.5,24.2
36,Current users ever told about side effects of current method (%),54.2,52.5
