,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),63.8,52.7
1,Population below age 15 years (%),27.6,32.6
2,"Sex ratio of the total population (females per 1,000 males)",998,"1,043"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",833,993
4,Children under age 5 years whose birth was registered with the civil authority (%),97.8,59.8
5,Deaths in the last 3 years registered with the civil authority (%),82.3,na
6,Population living in households with electricity (%),98.1,82.5
7,Population living in households with an improved drinking-water source (%),92.7,79.2
8,Population living in households that use an improved sanitation facility(%),60.3,29.0
9,Households using clean fuel for cooking (%),34.3,24.2
10,Households using iodized salt (%),98.4,88.8
11,Households with any usual member covered under a health insurance/financing scheme (%),94.3,24.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.9,na
13,Women who are literate (%),62.0,na
14,Women with 10 or more years of schooling (%),30.1,21.5
15,Women age 20-24 years married before age 18 years (%),18.2,40.4
16,Births in the 5 years preceding the survey that are third or higher order (%),1.8,3.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.5,6.8
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),85.7,41.2
19,Any method (%),75.5,51.2
20,Any modern method (%),65.7,37.8
21,Female sterilization (%),43.8,25.4
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),3.5,1.4
24,Pill (%),3.4,2.8
25,Condom (%),13.5,8.3
26,Injectables (%),1.3,0.0
27,Total unmet need(%),4.4,12.7
28,Unmet need for spacing (%),2.1,5.4
29,Health worker ever talked to female non-users about family planning (%),34.6,27.1
30,Current users ever told about side effects of current method (%),71.1,55.8
31,Mothers who had an antenatal check-up in the first trimester (%),69.6,59.9
32,Mothers who had at least 4 antenatal care visits (%),62.3,45.9
33,Mothers whose last birth was protected against neonatal tetanus (%),98.4,85.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),44.7,19.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),17.4,6.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,90.0
37,days of delivery (%),96.6,59.7
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,480",947
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,0.0
40,days of delivery (%),95.2,na
41,Institutional births (%),96.1,73.7
42,Institutional births in public facility (%),89.4,63.8
43,Home births that were conducted by skilled health personnel (%),1.6,0.8
44,Births attended by skilled health personnel (%),97.4,74.8
45,Births delivered by caesarean section (%),7.3,8.4
46,Births in a private health facility that were delivered by caesarean section (%),(36.6),(28.7)
47,Births in a public health facility that were delivered by caesarean section (%),5.4,8.7
48,mother's recall (%),86.8,43.9
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),89.5,(54.5)
