,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),67.9,61.4
1,Population below age 15 years (%),27.5,30.3
2,"Sex ratio of the total population (females per 1,000 males)","1,061","1,015"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",770,938
4,Children under age 5 years whose birth was registered with the civil authority (%),92.3,67.7
5,Deaths in the last 3 years registered with the civil authority (%),74.8,na
6,Population living in households with electricity (%),99.2,96.7
7,Population living in households with an improved drinking-water source (%),99.4,98.9
8,Population living in households that use an improved sanitation facility(%),77.9,66.3
9,Households using clean fuel for cooking (%),58.4,42.8
10,Households using iodized salt (%),94.5,94.0
11,Households with any usual member covered under a health insurance/financing scheme (%),82.4,17.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),9.1,na
13,Women who are literate (%),71.8,na
14,Women with 10 or more years of schooling (%),41.4,27.5
15,Women age 20-24 years married before age 18 years (%),18.0,24.2
16,Births in the 5 years preceding the survey that are third or higher order (%),2.3,2.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.0,3.7
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.0,83.9
19,Any method (%),75.2,59.8
20,Any modern method (%),63.3,56.0
21,Female sterilization (%),38.6,41.6
22,Male sterilization (%),0.4,0.1
23,IUD/PPIUD (%),2.2,1.0
24,Pill (%),4.7,3.7
25,Condom (%),17.2,8.6
26,Injectables (%),0.2,0.8
27,Total unmet need(%),10.3,15.7
28,Unmet need for spacing (%),4.7,7.4
29,Health worker ever talked to female non-users about family planning (%),20.2,14.4
30,Current users ever told about side effects of current method (%),58.0,42.0
31,Mothers who had an antenatal check-up in the first trimester (%),75.9,81.3
32,Mothers who had at least 4 antenatal care visits (%),50.4,49.1
33,Mothers whose last birth was protected against neonatal tetanus (%),90.9,95.7
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),45.1,16.6
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),25.8,6.3
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.2,92.0
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),83.5,73.6
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,927","2,386"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(4.7)
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),87.8,na
41,Institutional births (%),95.8,92.0
42,Institutional births in public facility (%),54.8,49.1
43,Home births that were conducted by skilled health personnel (%),1.1,3.7
44,Births attended by skilled health personnel (%),94.9,95.3
45,Births delivered by caesarean section (%),17.2,10.9
46,Births in a private health facility that were delivered by caesarean section (%),26.5,20.9
47,Births in a public health facility that were delivered by caesarean section (%),11.7,3.9
48,Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),70.0,56.8
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),71.3,(62.6)
50,Children age 12-23 months who have received BCG (%),95.7,90.7
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),77.6,63.9
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),80.6,69.1
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),86.5,82.0
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),22.5,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),38.0,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),79.3,54.5
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),68.1,45.6
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.2,84.4
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),6.9,15.6
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.9,9.4
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(63.4)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(14.3)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(80.8)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.2,3.2
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(71.8),89.9
66,Children under age 3 years breastfed within one hour of birth (%),30.4,24.7
67,Children under age 6 months exclusively breastfed (%),(74.0),(67.8)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),10.7,4.6
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(4.5)
71,Total children age 6-23 months receiving an adequate diet (%),12.0,4.6
72,Children under 5 years who are stunted (height-for-age) (%),23.1,28.4
73,Children under 5 years who are wasted (weight-for-height) (%),12.8,11.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),6.3,4.1
75,Children under 5 years who are underweight (weight-for-age) (%),18.3,20.5
76,Children under 5 years who are overweight (weight-for-height) (%),4.1,4.5
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),21.4,23.2
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),19.6,18.4
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),52.7,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),61.5,48.8
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),44.3,32.9
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(32.9),(32.1)
83,All women age 15-49 years who are anaemic (%),44.0,32.8
84,All women age 15-19 years who are anaemic (%),42.1,32.6
85,Women - Blood sugar level - high (141-160 mg/dl)(%),2.9,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),2.6,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),6.3,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),4.7,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),2.7,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.8,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.1,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.3,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),19.4,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.1,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.2,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to controlblood pressure (%),22.0,na
97,Ever undergone a screening test for cervical cancer (%),0.3,na
98,Ever undergone a breast examination for breast cancer (%),0.1,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.3,na
100,Women age 15 years and above who use any kind of tobacco (%),7.0,na
101,Men age 15 years and above who use any kind of tobacco (%),35.1,na
102,Women age 15 years and above who consume alcohol (%),0.2,na
103,Men age 15 years and above who consume alcohol (%),9.8,na
