,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),68.6,63.6
2,Population below age 15 years (%),25.0,29.7
3,"Sex ratio of the total population (females per 1,000 males)",946,964
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",885,961
5,Children under age 5 years whose birth was registered with the civil authority (%),94.7,92.7
6,Deaths in the last 3 years registered with the civil authority (%),72.4,na
7,Population living in households with electricity (%),99.6,98.9
8,Population living in households with an improved drinking-water source (%),93.6,93.9
9,Population living in households that use an improved sanitation facility(%),69.6,50.4
10,Households using clean fuel for cooking (%),51.0,37.8
11,Households using iodized salt (%),99.1,99.1
12,Households with any usual member covered under a health insurance/financing scheme (%),35.1,16.3
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),21.4,na
15,Women who are literate (%),64.2,na
16,Women with 10 or more years of schooling (%),27.7,22.1
18,Women age 20-24 years married before age 18 years (%),28.1,37.4
19,Births in the 5 years preceding the survey that are third or higher order (%),1.9,4.3
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.2,9.4
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),68.8,51.1
23,Any method (%),63.6,56.6
24,Any modern method (%),61.2,56.4
25,Female sterilization (%),45.5,47.2
26,Male sterilization (%),0.1,0.1
27,IUD/PPIUD (%),0.9,0.1
28,Pill (%),3.6,2.5
29,Condom (%),9.8,6.2
30,Injectables (%),0.8,0.1
32,Total unmet need(%),7.7,11.3
33,Unmet need for spacing (%),3.1,6.1
35,Health worker ever talked to female non-users about family planning (%),15.1,34.1
36,Current users ever told about side effects of current method (%),64.9,60.2
39,Mothers who had an antenatal check-up in the first trimester (%),61.9,66.4
40,Mothers who had at least 4 antenatal care visits (%),49.1,41.3
41,Mothers whose last birth was protected against neonatal tetanus (%),92.1,94.6
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),58.0,25.2
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),40.8,11.5
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.1,97.5
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),84.3,77.9
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,815","1,607"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),82.7,na
52,Institutional births (%),92.2,92.4
53,Institutional births in public facility (%),80.3,73.8
54,Home births that were conducted by skilled health personnel (%),3.6,0.3
55,Births attended by skilled health personnel (%),91.9,84.9
56,Births delivered by caesarean section (%),13.5,14.8
57,Births in a private health facility that were delivered by caesarean section (%),(63.1),56.4
58,Births in a public health facility that were delivered by caesarean section (%),7.5,5.8
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),87.1,60.3
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),95.0,74.2
63,Children age 12-23 months who have received BCG (%),96.7,92.9
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),88.5,73.0
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.9,85.2
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.5,79.5
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),42.2,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),79.5,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),91.8,70.5
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),86.7,72.2
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.7,98.9
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.3,1.2
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),8.5,10.0
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(72.4),(71.8)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(46.5),(35.6)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(68.9),(75.3)
