,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),61.4,55.8
2,Population below age 15 years (%),27.8,31.0
3,"Sex ratio of the total population (females per 1,000 males)",898,910
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",963,"1,082"
5,Children under age 5 years whose birth was registered with the civil authority (%),88.1,80.6
6,Deaths in the last 3 years registered with the civil authority (%),79.5,na
7,Population living in households with electricity (%),97.2,87.9
8,Population living in households with an improved drinking-water source (%),86.8,66.5
9,Population living in households that use an improved sanitation facility(%),55.5,23.9
10,Households using clean fuel for cooking (%),32.7,19.7
11,Households using iodized salt (%),96.2,94.5
12,Households with any usual member covered under a health insurance/financing scheme (%),38.9,16.9
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),2.9,na
15,Women who are literate (%),56.7,na
16,Women with 10 or more years of schooling (%),21.2,14.3
18,Women age 20-24 years married before age 18 years (%),32.5,36.9
19,Births in the 5 years preceding the survey that are third or higher order (%),3.7,4.9
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.7,8.6
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),58.7,34.8
23,Any method (%),64.3,57.7
24,Any modern method (%),55.5,55.4
25,Female sterilization (%),49.1,50.3
26,Male sterilization (%),0.0,0.1
27,IUD/PPIUD (%),0.3,0.6
28,Pill (%),0.3,0.7
29,Condom (%),5.2,3.7
30,Injectables (%),0.3,0.0
32,Total unmet need(%),12.7,12.8
33,Unmet need for spacing (%),7.7,6.0
35,Health worker ever talked to female non-users about family planning (%),31.5,32.1
36,Current users ever told about side effects of current method (%),54.1,59.2
39,Mothers who had an antenatal check-up in the first trimester (%),75.9,58.5
40,Mothers who had at least 4 antenatal care visits (%),52.7,26.0
41,Mothers whose last birth was protected against neonatal tetanus (%),98.1,93.2
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.0,16.5
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),27.7,4.3
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.4,94.1
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.1,61.9
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),721,"1,661"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(2.0)
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),84.7,na
52,Institutional births (%),94.5,86.9
53,Institutional births in public facility (%),89.3,83.2
54,Home births that were conducted by skilled health personnel (%),1.9,1.1
55,Births attended by skilled health personnel (%),94.0,87.9
56,Births delivered by caesarean section (%),8.9,6.2
57,Births in a private health facility that were delivered by caesarean section (%),*,*
58,Births in a public health facility that were delivered by caesarean section (%),5.9,5.4
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),63.1,63.1
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),67.8,(77.3)
63,Children age 12-23 months who have received BCG (%),94.5,94.1
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),68.7,68.3
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),77.5,79.9
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),78.4,81.9
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),33.0,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),70.5,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),76.0,64.8
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.5,59.2
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,99.0
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.0
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.8,7.8
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(47.2)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(26.2)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(58.7)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.6,1.1
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(69.2)
