Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),70.3,65.9
Population below age 15 years (%),28.4,30.0
"Sex ratio of the total population (females per 1,000 males)",953,917
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",751,860
Children under age 5 years whose birth was registered with the civil authority (%),89.1,79.7
Deaths in the last 3 years registered with the civil authority (%),55.2,na
Population living in households with electricity (%),97.3,87.0
Population living in households with an improved drinking-water source (%),81.0,78.6
Population living in households that use an improved sanitation facility(%),40.6,23.3
Households using clean fuel for cooking (%),28.1,13.3
Households using iodized salt (%),87.0,88.7
Households with any usual member covered under a health insurance/financing scheme (%),21.6,14.2
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),17.2,na
Women who are literate (%),61.6,na
Women with 10 or more years of schooling (%),24.8,17.8
Women age 20-24 years married before age 18 years (%),28.6,40.0
Births in the 5 years preceding the survey that are third or higher order (%),3.7,2.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.9,7.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),40.9,33.5
Any method (%),72.9,36.2
Any modern method (%),67.5,35.9
Female sterilization (%),58.1,33.0
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),1.2,0.8
Pill (%),1.4,0.6
Condom (%),4.6,1.5
Injectables (%),0.2,0.0
Total unmet need(%),6.4,14.0
Unmet need for spacing (%),3.6,4.4
Health worker ever talked to female non-users about family planning (%),16.8,14.8
Current users ever told about side effects of current method (%),57.0,25.1
Mothers who had an antenatal check-up in the first trimester (%),67.1,31.1
Mothers who had at least 4 antenatal care visits (%),46.4,24.2
Mothers whose last birth was protected against neonatal tetanus (%),94.1,85.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40.2,21.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),29.1,7.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.2,89.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),75.8,31.5
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,818","1,850"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(5.5),0.0
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2days of delivery (%),78.8,na
Institutional births (%),85.0,69.9
Institutional births in public facility (%),80.3,62.9
Home births that were conducted by skilled health personnel (%),4.1,2.7
Births attended by skilled health personnel (%),85.2,65.7
Births delivered by caesarean section (%),8.8,5.8
Births in a private health facility that were delivered by caesarean section (%),*,(52.3)
Births in a public health facility that were delivered by caesarean section (%),7.3,3.4
Children age 12-23 months fully vaccinated based on information from either vaccination card ormother's recall (%),60.8,55.9
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(76.9),(80.6)
Children age 12-23 months who have received BCG (%),92.7,90.5
Children age 12-23 months who have received 3 doses of polio vaccine (%),68.3,68.1
