,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),67.2,59.8
2,Population below age 15 years (%),24.7,29.4
3,"Sex ratio of the total population (females per 1,000 males)",979,973
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,032",931
5,Children under age 5 years whose birth was registered with the civil authority (%),98.4,74.8
6,Deaths in the last 3 years registered with the civil authority (%),87.3,na
7,Population living in households with electricity (%),97.5,77.6
8,Population living in households with an improved drinking-water source (%),79.2,66.1
9,Population living in households that use an improved sanitation facility(%),61.4,17.6
10,Households using clean fuel for cooking (%),26.5,13.5
11,Households using iodized salt (%),89.4,89.8
12,Households with any usual member covered under a health insurance/financing scheme (%),58.4,21.2
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.4,na
15,Women who are literate (%),68.5,na
16,Women with 10 or more years of schooling (%),30.7,18.7
18,Women age 20-24 years married before age 18 years (%),27.5,40.1
19,Births in the 5 years preceding the survey that are third or higher order (%),2.5,1.6
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.8,7.3
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),51.0,32.8
23,Any method (%),64.5,43.5
24,Any modern method (%),58.3,43.2
25,Female sterilization (%),47.1,39.9
26,Male sterilization (%),2.6,0.8
27,IUD/PPIUD (%),1.7,0.5
28,Pill (%),0.5,0.2
29,Condom (%),3.2,1.5
30,Injectables (%),0.2,0.3
32,Total unmet need(%),9.2,11.3
33,Unmet need for spacing (%),5.1,5.3
35,Health worker ever talked to female non-users about family planning (%),35.3,15.2
36,Current users ever told about side effects of current method (%),72.7,26.3
39,Mothers who had an antenatal check-up in the first trimester (%),74.2,33.0
40,Mothers who had at least 4 antenatal care visits (%),57.4,21.9
41,Mothers whose last birth was protected against neonatal tetanus (%),94.4,88.1
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),55.0,20.4
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),31.7,6.5
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,83.3
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.2,35.2
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,274","1,156"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(26.7),0.0
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),79.3,na
52,Institutional births (%),85.6,71.9
53,Institutional births in public facility (%),83.0,70.1
54,Home births that were conducted by skilled health personnel (%),4.6,2.0
55,Births attended by skilled health personnel (%),86.9,71.2
56,Births delivered by caesarean section (%),9.3,6.2
57,Births in a private health facility that were delivered by caesarean section (%),*,*
58,Births in a public health facility that were delivered by caesarean section (%),9.3,7.1
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),86.1,40.3
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),87.4,*
63,Children age 12-23 months who have received BCG (%),98.7,85.4
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),94.5,50.1
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.6,74.5
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),94.1,80.7
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),45.8,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),77.3,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.6,41.7
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.2,56.6
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,100.0
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,0.0
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.2,6.6
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.1,2.5
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(57.4)
