Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),62.6
Population below age 15 years (%),25.0
"Sex ratio of the total population (females per 1,000 males)",957
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,012"
Children under age 5 years whose birth was registered with the civil authority (%),96.3
Deaths in the last 3 years registered with the civil authority (%),67.7
Population living in households with electricity (%),99.9
Population living in households with an improved drinking-water source (%),91.8
Population living in households that use an improved sanitation facility(%),74.5
Households using clean fuel for cooking (%),37.7
Households using iodized salt (%),97.2
Households with any usual member covered under a health insurance/financing scheme (%),34.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),21.8
Women who are literate (%),58.0
Women with 10 or more years of schooling (%),19.6
Women age 20-24 years married before age 18 years (%),24.4
Births in the 5 years preceding the survey that are third or higher order (%),1.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),59.8
Any method (%),78.2
Any modern method (%),71.8
Female sterilization (%),53.4
Male sterilization (%),2.0
IUD/PPIUD (%),1.8
Pill (%),1.9
Condom (%),10.9
Injectables (%),0.9
Total unmet need(%),6.1
Unmet need for spacing (%),3.0
Health worker ever talked to female non-users about family planning (%),28.2
Current users ever told about side effects of current method (%),75.9
Mothers who had an antenatal check-up in the first trimester (%),85.8
Mothers who had at least 4 antenatal care visits (%),64.7
Mothers whose last birth was protected against neonatal tetanus (%),96.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.7
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),29.8
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery(%),85.6
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,974"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),88.2
Institutional births (%),98.1
Institutional births in public facility (%),89.0
Home births that were conducted by skilled health personnel (%),0.7
